Question,Question Type,QID,Answer,Title,EM,F1,Question Words,Answer Words,Question Length,Answer Length
What are the red flags in a patient who is taking more than their prescribed dose or showing signs of aberrant behavior?,What,156,"progressive numbness or weakness, progressive changes in bowel or bladder function, unexplained weight loss, history of internal malignancy that has not been re-staged, signs of/risk factors for infection",Specifications,0,0.0689655172413793,"['What', 'are', 'the', 'red', 'flags', 'in', 'a', 'patient', 'who', 'is', 'taking', 'more', 'than', 'their', 'prescribed', 'dose', 'or', 'showing', 'signs', 'of', 'aberrant', 'behavior', '?']","['progressive', 'numbness', 'or', 'weakness', ',', 'progressive', 'changes', 'in', 'bowel', 'or', 'bladder', 'function', ',', 'unexplained', 'weight', 'loss', ',', 'history', 'of', 'internal', 'malignancy', 'that', 'has', 'not', 'been', 're', '-', 'staged', ',', 'signs', 'of', '/', 'risk', 'factors', 'for', 'infection']",23,36
What is the stance regarding the concurrent use of benzodiazepines and opioids?,What,157,recommend against,Recommendations,1,1.0,"['What', 'is', 'the', 'stance', 'regarding', 'the', 'concurrent', 'use', 'of', 'benzodiazepines', 'and', 'opioids', '?']","['recommend', 'against']",13,2
What is the stance regarding long-term opioid therapy for patients less than 30 years of age secondary to higher risk of opioid use disorder and overdose?,What,158,recommend against,Recommendations,1,1.0,"['What', 'is', 'the', 'stance', 'regarding', 'long', '-', 'term', 'opioid', 'therapy', 'for', 'patients', 'less', 'than', '30', 'years', 'of', 'age', 'secondary', 'to', 'higher', 'risk', 'of', 'opioid', 'use', 'disorder', 'and', 'overdose', '?']","['recommend', 'against']",29,2
What to consider for patients currently on long-term opioid therapy and benzodiazepines?,What,159,consider tapering one or both when risks exceed benefits and obtaining specialty consultation as appropriate,Recommendations,0,0.9655172413793104,"['What', 'to', 'consider', 'for', 'patients', 'currently', 'on', 'long', '-', 'term', 'opioid', 'therapy', 'and', 'benzodiazepines', '?']","['consider', 'tapering', 'one', 'or', 'both', 'when', 'risks', 'exceed', 'benefits', 'and', 'obtaining', 'specialty', 'consultation', 'as', 'appropriate']",15,15
What to recommend for patients less than 30 years of age currently on long-term opioid therapy?,What,160,close monitoring and consideration for tapering when risks exceed benefits,Recommendations,1,1.0,"['What', 'to', 'recommend', 'for', 'patients', 'less', 'than', '30', 'years', 'of', 'age', 'currently', 'on', 'long', '-', 'term', 'opioid', 'therapy', '?']","['close', 'monitoring', 'and', 'consideration', 'for', 'tapering', 'when', 'risks', 'exceed', 'benefits']",19,10
"What is needed to ascertain whether said formulations differ across clinical outcomes such as pain, function,  and adverse events?  ",What,161,Future research,Recommendations,1,1.0,"['What', 'is', 'needed', 'to', 'ascertain', 'whether', 'said', 'formulations', 'differ', 'across', 'clinical', 'outcomes', 'such', 'as', 'pain', ',', 'function', ',', ' ', 'and', 'adverse', 'events', '?', ' ']","['Future', 'research']",24,2
What is needed to ascertain whether abuse deterrent formulations actually reduce OUD when used for chronic pain? ,What,162,Future research,Recommendations,1,1.0,"['What', 'is', 'needed', 'to', 'ascertain', 'whether', 'abuse', 'deterrent', 'formulations', 'actually', 'reduce', 'OUD', 'when', 'used', 'for', 'chronic', 'pain', '?']","['Future', 'research']",18,2
What to do with the increment of opioid dosage and risk?,What,163,more frequent monitoring for adverse events including opioid use disorder and overdose,Recommendations,1,1.0,"['What', 'to', 'do', 'with', 'the', 'increment', 'of', 'opioid', 'dosage', 'and', 'risk', '?']","['more', 'frequent', 'monitoring', 'for', 'adverse', 'events', 'including', 'opioid', 'use', 'disorder', 'and', 'overdose']",12,12
What is the recommended dose of opioids?,What,167,the lowest dose of opioids as indicated by patient-specific risks and benefits,Recommendations,0,0.16666666666666669,"['What', 'is', 'the', 'recommended', 'dose', 'of', 'opioids', '?']","['the', 'lowest', 'dose', 'of', 'opioids', 'as', 'indicated', 'by', 'patient', '-', 'specific', 'risks', 'and', 'benefits']",8,14
What opioid dose is not recommended for treating chronic pain?,What,168,over 90 mg morphine equivalent daily dose,Recommendations,1,1.0,"['What', 'opioid', 'dose', 'is', 'not', 'recommended', 'for', 'treating', 'chronic', 'pain', '?']","['over', '90', 'mg', 'morphine', 'equivalent', 'daily', 'dose']",11,7
What is recommended for patients who are currently prescribed doses over 90 mg morphine equivalent daily dose?,What,169,evaluate for tapering to reduced dose or to discontinuation,Recommendations,1,1.0,"['What', 'is', 'recommended', 'for', 'patients', 'who', 'are', 'currently', 'prescribed', 'doses', 'over', '90', 'mg', 'morphine', 'equivalent', 'daily', 'dose', '?']","['evaluate', 'for', 'tapering', 'to', 'reduced', 'dose', 'or', 'to', 'discontinuation']",18,9
What is required by the interpretation of a UDT and confirmatory results?,What,171,education and knowledge of the local procedures and clinical  scenario,Recommendations,1,1.0,"['What', 'is', 'required', 'by', 'the', 'interpretation', 'of', 'a', 'UDT', 'and', 'confirmatory', 'results', '?']","['education', 'and', 'knowledge', 'of', 'the', 'local', 'procedures', 'and', 'clinical', ' ', 'scenario']",13,11
What can identify active SUD or possible diversion?,What,172,UDT results,Recommendations,1,1.0,"['What', 'can', 'identify', 'active', 'SUD', 'or', 'possible', 'diversion', '?']","['UDT', 'results']",9,2
What is critical due to the false positive and negative rates associated with UDTs?,What,173,"Availability of accurate and timely confirmatory testing (e.g., gas chromatography-mass spectrometry  [GCMS])",Recommendations,1,1.0,"['What', 'is', 'critical', 'due', 'to', 'the', 'false', 'positive', 'and', 'negative', 'rates', 'associated', 'with', 'UDTs', '?']","['Availability', 'of', 'accurate', 'and', 'timely', 'confirmatory', 'testing', '(', 'e.g.', ',', 'gas', 'chromatography', '-', 'mass', 'spectrometry', ' ', '[', 'GCMS', ']', ')']",15,20
When should clinicians obtain UDT?,When,174,prior to initiating or continuing LOT and periodically thereafter,Recommendations,1,1.0,"['When', 'should', 'clinicians', 'obtain', 'UDT', '?']","['prior', 'to', 'initiating', 'or', 'continuing', 'LOT', 'and', 'periodically', 'thereafter']",6,9
What should be done when a patient is referred for  SUD treatment or is engaged in on-going treatment?,What,175,close communication between the  SUD and pain management providers,Recommendations,0,0.8421052631578948,"['What', 'should', 'be', 'done', 'when', 'a', 'patient', 'is', 'referred', 'for', ' ', 'SUD', 'treatment', 'or', 'is', 'engaged', 'in', 'on', '-', 'going', 'treatment', '?']","['close', 'communication', 'between', 'the', ' ', 'SUD', 'and', 'pain', 'management', 'providers']",22,10
What is the format of the ideal approach to communicate between the  SUD and pain management providers when a patient is referred for  SUD treatment or is engaged in ongoing treatment?,What,176,interdisciplinary,Recommendations,1,1.0,"['What', 'is', 'the', 'format', 'of', 'the', 'ideal', 'approach', 'to', 'communicate', 'between', 'the', ' ', 'SUD', 'and', 'pain', 'management', 'providers', 'when', 'a', 'patient', 'is', 'referred', 'for', ' ', 'SUD', 'treatment', 'or', 'is', 'engaged', 'in', 'ongoing', 'treatment', '?']",['interdisciplinary'],34,1
What does require education and knowledge of the local procedures and clinical  scenario?,What,177,Interpretation of a  UDT and confirmatory results,Recommendations,1,1.0,"['What', 'does', 'require', 'education', 'and', 'knowledge', 'of', 'the', 'local', 'procedures', 'and', 'clinical', ' ', 'scenario', '?']","['Interpretation', 'of', 'a', ' ', 'UDT', 'and', 'confirmatory', 'results']",15,8
Why is UDT and confirmatory testing used as an additional method of examining for patient substance misuse and adherence to the  prescribed regimen?,Why,178,As substance misuse in patients on LOT is more than 30% in some series,Recommendations,1,1.0,"['Why', 'is', 'UDT', 'and', 'confirmatory', 'testing', 'used', 'as', 'an', 'additional', 'method', 'of', 'examining', 'for', 'patient', 'substance', 'misuse', 'and', 'adherence', 'to', 'the', ' ', 'prescribed', 'regimen', '?']","['As', 'substance', 'misuse', 'in', 'patients', 'on', 'LOT', 'is', 'more', 'than', '30', '%', 'in', 'some', 'series']",25,15
What should clinicians obtain prior to initiating or continuing LOT and periodically thereafter?,What,179,UDT,Recommendations,1,1.0,"['What', 'should', 'clinicians', 'obtain', 'prior', 'to', 'initiating', 'or', 'continuing', 'LOT', 'and', 'periodically', 'thereafter', '?']",['UDT'],14,1
What do UDTs do when used appropriately?,What,180,"help to address safety, fairness, and trust with OT",Recommendations,1,1.0,"['What', 'do', 'UDTs', 'do', 'when', 'used', 'appropriately', '?']","['help', 'to', 'address', 'safety', ',', 'fairness', ',', 'and', 'trust', 'with', 'OT']",8,11
What can UDT results do?,What,181,help identify active SUD or possible diversion,Recommendations,0,0.8235294117647058,"['What', 'can', 'UDT', 'results', 'do', '?']","['help', 'identify', 'active', 'SUD', 'or', 'possible', 'diversion']",6,7
What is the relationship between opioid dosage and risks of opioid overdose?,What,184,progressively higher doses of prescribed opioids result in correspondingly higher risks of opioid overdose,Recommendations,0,0.12903225806451615,"['What', 'is', 'the', 'relationship', 'between', 'opioid', 'dosage', 'and', 'risks', 'of', 'opioid', 'overdose', '?']","['progressively', 'higher', 'doses', 'of', 'prescribed', 'opioids', 'result', 'in', 'correspondingly', 'higher', 'risks', 'of', 'opioid', 'overdose']",13,14
Which factors increase the risk of opioid overdose?,Which,185,"certain concomitant demographic factors, co-occurring medical or psychiatric conditions,  or interacting medications or substances",Recommendations,0,0.9655172413793104,"['Which', 'factors', 'increase', 'the', 'risk', 'of', 'opioid', 'overdose', '?']","['certain', 'concomitant', 'demographic', 'factors', ',', 'co', '-', 'occurring', 'medical', 'or', 'psychiatric', 'conditions', ',', ' ', 'or', 'interacting', 'medications', 'or', 'substances']",9,19
Which step should be taken to address the problem of opioid-related overdose epidemic?,Which,186,Achieving an improved understanding of the factors contributing to prescription opioid-related overdose,Recommendations,1,1.0,"['Which', 'step', 'should', 'be', 'taken', 'to', 'address', 'the', 'problem', 'of', 'opioid', '-', 'related', 'overdose', 'epidemic', '?']","['Achieving', 'an', 'improved', 'understanding', 'of', 'the', 'factors', 'contributing', 'to', 'prescription', 'opioid', '-', 'related', 'overdose']",16,14
What increases the risk of overdose and overdose death?,What,187,concurrent use of benzodiazepines with prescription opioids,Recommendations,1,1.0,"['What', 'increases', 'the', 'risk', 'of', 'overdose', 'and', 'overdose', 'death', '?']","['concurrent', 'use', 'of', 'benzodiazepines', 'with', 'prescription', 'opioids']",10,7
Who has the highest adjusted odds ratio (AOR) for drug  overdose?,Who,188,individuals on LOT for chronic pain (without anxiety or PTSD) who also received  concurrent long-term benzodiazepine therapy,Recommendations,1,1.0,"['Who', 'has', 'the', 'highest', 'adjusted', 'odds', 'ratio', '(', 'AOR', ')', 'for', 'drug', ' ', 'overdose', '?']","['individuals', 'on', 'LOT', 'for', 'chronic', 'pain', '(', 'without', 'anxiety', 'or', 'PTSD', ')', 'who', 'also', 'received', ' ', 'concurrent', 'long', '-', 'term', 'benzodiazepine', 'therapy']",15,22
What is the effect of concurrent use of benzodiazepines with prescription opioids?,What,190,increases the risk of  overdose and overdose death,Recommendations,1,1.0,"['What', 'is', 'the', 'effect', 'of', 'concurrent', 'use', 'of', 'benzodiazepines', 'with', 'prescription', 'opioids', '?']","['increases', 'the', 'risk', 'of', ' ', 'overdose', 'and', 'overdose', 'death']",13,9
What is the relationship between harms and benefits for the concurrent use of benzodiazepines and LOT?,What,191,Harms may outweigh benefits,Recommendations,1,1.0,"['What', 'is', 'the', 'relationship', 'between', 'harms', 'and', 'benefits', 'for', 'the', 'concurrent', 'use', 'of', 'benzodiazepines', 'and', 'LOT', '?']","['Harms', 'may', 'outweigh', 'benefits']",17,4
Who were at an increased risk of death from drug overdose?,Who,192,Veterans receiving both opioids and  benzodiazepines,Recommendations,1,1.0,"['Who', 'were', 'at', 'an', 'increased', 'risk', 'of', 'death', 'from', 'drug', 'overdose', '?']","['Veterans', 'receiving', 'both', 'opioids', 'and', ' ', 'benzodiazepines']",12,7
What was highest for individuals on LOT for chronic pain (without anxiety or PTSD) who also received  concurrent long-term benzodiazepine therapy?,What,193,the adjusted odds ratio (AOR) for drug  overdose,Recommendations,1,1.0,"['What', 'was', 'highest', 'for', 'individuals', 'on', 'LOT', 'for', 'chronic', 'pain', '(', 'without', 'anxiety', 'or', 'PTSD', ')', 'who', 'also', 'received', ' ', 'concurrent', 'long', '-', 'term', 'benzodiazepine', 'therapy', '?']","['the', 'adjusted', 'odds', 'ratio', '(', 'AOR', ')', 'for', 'drug', ' ', 'overdose']",27,11
When do the risks for opioid use disorder start?,When,194,at any dose,Recommendations,0,0.5,"['When', 'do', 'the', 'risks', 'for', 'opioid', 'use', 'disorder', 'start', '?']","['at', 'any', 'dose']",10,3
What does significantly increase at a range of 20- 50 mg morphine equivalent daily dose?,What,195,Risks for overdose and death,Recommendations,1,1.0,"['What', 'does', 'significantly', 'increase', 'at', 'a', 'range', 'of', '20-', '50', 'mg', 'morphine', 'equivalent', 'daily', 'dose', '?']","['Risks', 'for', 'overdose', 'and', 'death']",16,5
How do the risks for opioid use disorder increase?,How,197,in a dose dependent manner,Recommendations,1,1.0,"['How', 'do', 'the', 'risks', 'for', 'opioid', 'use', 'disorder', 'increase', '?']","['in', 'a', 'dose', 'dependent', 'manner']",10,5
What is recommended as opioid dosage and risk increase?,What,198,more frequent monitoring for adverse events including opioid use disorder and overdose,Recommendations,1,1.0,"['What', 'is', 'recommended', 'as', 'opioid', 'dosage', 'and', 'risk', 'increase', '?']","['more', 'frequent', 'monitoring', 'for', 'adverse', 'events', 'including', 'opioid', 'use', 'disorder', 'and', 'overdose']",10,12
When is it recommended more frequent monitoring for adverse events?,When,199,As opioid dosage and risk increase,Recommendations,1,1.0,"['When', 'is', 'it', 'recommended', 'more', 'frequent', 'monitoring', 'for', 'adverse', 'events', '?']","['As', 'opioid', 'dosage', 'and', 'risk', 'increase']",11,6
Where does OT have a limited role?,Where,200,"primarily in the treatment of severe acute pain, post-operative pain, and end-of-life pain",Background,1,1.0,"['Where', 'does', 'OT', 'have', 'a', 'limited', 'role', '?']","['primarily', 'in', 'the', 'treatment', 'of', 'severe', 'acute', 'pain', ',', 'post', '-', 'operative', 'pain', ',', 'and', 'end', '-', 'of', '-', 'life', 'pain']",8,21
What was coupled with the newly cautious approach to LOT?,What,201,the evidence of both the safety and efficacy for non-pharmacologic and non-opioid pharmacologic pain therapies,Background,1,1.0,"['What', 'was', 'coupled', 'with', 'the', 'newly', 'cautious', 'approach', 'to', 'LOT', '?']","['the', 'evidence', 'of', 'both', 'the', 'safety', 'and', 'efficacy', 'for', 'non', '-', 'pharmacologic', 'and', 'non', '-', 'opioid', 'pharmacologic', 'pain', 'therapies']",11,19
How is pain recognized by the biopsychosocial model of pain?,How,202,as a complex multidimensional experience that requires multimodal and integrated care approaches,Background,0,0.9565217391304348,"['How', 'is', 'pain', 'recognized', 'by', 'the', 'biopsychosocial', 'model', 'of', 'pain', '?']","['as', 'a', 'complex', 'multidimensional', 'experience', 'that', 'requires', 'multimodal', 'and', 'integrated', 'care', 'approaches']",11,12
What warranted a cautious approach to LOT prioritizing safety?,What,203,The accumulation of evidence of harms and the absence of evidence of long-term benefits,Background,1,1.0,"['What', 'warranted', 'a', 'cautious', 'approach', 'to', 'LOT', 'prioritizing', 'safety', '?']","['The', 'accumulation', 'of', 'evidence', 'of', 'harms', 'and', 'the', 'absence', 'of', 'evidence', 'of', 'long', '-', 'term', 'benefits']",10,16
"What is the role of OT in the treatment of severe acute pain, post-operative pain, and end-of-life pain?",What,204,limited,Background,1,1.0,"['What', 'is', 'the', 'role', 'of', 'OT', 'in', 'the', 'treatment', 'of', 'severe', 'acute', 'pain', ',', 'post', '-', 'operative', 'pain', ',', 'and', 'end', '-', 'of', '-', 'life', 'pain', '?']",['limited'],27,1
What are the preferred treatments for chronic non-terminal pain?,What,205,non-pharmacologic treatments and non-opioid medications,Background,1,1.0,"['What', 'are', 'the', 'preferred', 'treatments', 'for', 'chronic', 'non', '-', 'terminal', 'pain', '?']","['non', '-', 'pharmacologic', 'treatments', 'and', 'non', '-', 'opioid', 'medications']",12,9
Who is responsible for evaluating the appropriateness of applying the guidelines?,Who,206,Every healthcare professional making use of these guidelines,Introduction,1,1.0,"['Who', 'is', 'responsible', 'for', 'evaluating', 'the', 'appropriateness', 'of', 'applying', 'the', 'guidelines', '?']","['Every', 'healthcare', 'professional', 'making', 'use', 'of', 'these', 'guidelines']",12,8
When will the variations in practice inevitably and appropriately occur?,When,207,"when clinicians take into account the needs of individual patients, available resources, and limitations unique to an institution or type of practice",Introduction,1,1.0,"['When', 'will', 'the', 'variations', 'in', 'practice', 'inevitably', 'and', 'appropriately', 'occur', '?']","['when', 'clinicians', 'take', 'into', 'account', 'the', 'needs', 'of', 'individual', 'patients', ',', 'available', 'resources', ',', 'and', 'limitations', 'unique', 'to', 'an', 'institution', 'or', 'type', 'of', 'practice']",11,24
Which mental health comorbidities can worsen with opioid therapy?,Which,209,"PTSD, depression, anxiety",Specifications,1,1.0,"['Which', 'mental', 'health', 'comorbidities', 'can', 'worsen', 'with', 'opioid', 'therapy', '?']","['PTSD', ',', 'depression', ',', 'anxiety']",10,5
What includes personal history of SUD?,What,211,"alcohol use disorder (AUD), opioid use disorder (OUD), and/or a use disorder involving other substances",Specifications,1,1.0,"['What', 'includes', 'personal', 'history', 'of', 'SUD', '?']","['alcohol', 'use', 'disorder', '(', 'AUD', ')', ',', 'opioid', 'use', 'disorder', '(', 'OUD', ')', ',', 'and/or', 'a', 'use', 'disorder', 'involving', 'other', 'substances']",7,21
Which medical comorbidities can increase risk during opioid therapy?,Which,212,"lung disease, sleep apnea, liver disease, renal disease, fall risk, advanced age",Specifications,1,1.0,"['Which', 'medical', 'comorbidities', 'can', 'increase', 'risk', 'during', 'opioid', 'therapy', '?']","['lung', 'disease', ',', 'sleep', 'apnea', ',', 'liver', 'disease', ',', 'renal', 'disease', ',', 'fall', 'risk', ',', 'advanced', 'age']",10,17
"What is an example of medication that can increase risk during opioid therapy, if used concomitantly?",What,213,benzodiazepines,Specifications,1,1.0,"['What', 'is', 'an', 'example', 'of', 'medication', 'that', 'can', 'increase', 'risk', 'during', 'opioid', 'therapy', ',', 'if', 'used', 'concomitantly', '?']",['benzodiazepines'],18,1
What to do when there is concomitant use of medications that increase risk?,What,214,Consider tapering opioids,Specifications,1,1.0,"['What', 'to', 'do', 'when', 'there', 'is', 'concomitant', 'use', 'of', 'medications', 'that', 'increase', 'risk', '?']","['Consider', 'tapering', 'opioids']",14,3
Which can help reduce withdrawal symptoms?,Which,215,Gabapentin,Specifications,1,1.0,"['Which', 'can', 'help', 'reduce', 'withdrawal', 'symptoms', '?']",['Gabapentin'],7,1
What is the first-line treatment option for autonomic symptoms?,What,217,clonidine 0.1 to 0.2 mg oral every 6 to 8 hours,Specifications,0,0.16666666666666669,"['What', 'is', 'the', 'first', '-', 'line', 'treatment', 'option', 'for', 'autonomic', 'symptoms', '?']","['clonidine', '0.1', 'to', '0.2', 'mg', 'oral', 'every', '6', 'to', '8', 'hours']",12,11
What are the alternative treatment options for autonomic symptoms?,What,218,"Baclofen, Gabapentin, Tizanidine",Specifications,1,1.0,"['What', 'are', 'the', 'alternative', 'treatment', 'options', 'for', 'autonomic', 'symptoms', '?']","['Baclofen', ',', 'Gabapentin', ',', 'Tizanidine']",10,5
What is the recommended dose if blood pressure <90/60 mmHg while administering clonidine for autonomic symptoms?,What,219,0.1 mg oral,Specifications,0,0.5714285714285715,"['What', 'is', 'the', 'recommended', 'dose', 'if', 'blood', 'pressure', '<', '90/60', 'mmHg', 'while', 'administering', 'clonidine', 'for', 'autonomic', 'symptoms', '?']","['0.1', 'mg', 'oral']",18,3
When to hold dose if administering clonidine for autonomic symptoms?,When,220,if blood pressure <90/60 mmHg (0.1 to 0.2 mg 2 to 4 times daily is commonly used in the outpatient setting),Specifications,0,0.4,"['When', 'to', 'hold', 'dose', 'if', 'administering', 'clonidine', 'for', 'autonomic', 'symptoms', '?']","['if', 'blood', 'pressure', '<', '90/60', 'mmHg', '(', '0.1', 'to', '0.2', 'mg', '2', 'to', '4', 'times', 'daily', 'is', 'commonly', 'used', 'in', 'the', 'outpatient', 'setting', ')']",11,24
What is the alternative treatment option for autonomic symptoms using Baclofen?,What,221,5 mg 3 times daily; may increase to 40 mg total daily dose; re-evaluate in 3 to 7 days; average duration 15 days; may continue after acute withdrawal to help decrease cravings; should be tapered when it is discontinued,Specifications,0,0.5,"['What', 'is', 'the', 'alternative', 'treatment', 'option', 'for', 'autonomic', 'symptoms', 'using', 'Baclofen', '?']","['5', 'mg', '3', 'times', 'daily', ';', 'may', 'increase', 'to', '40', 'mg', 'total', 'daily', 'dose', ';', 're', '-', 'evaluate', 'in', '3', 'to', '7', 'days', ';', 'average', 'duration', '15', 'days', ';', 'may', 'continue', 'after', 'acute', 'withdrawal', 'to', 'help', 'decrease', 'cravings', ';', 'should', 'be', 'tapered', 'when', 'it', 'is', 'discontinued']",12,46
"Which can help reduce withdrawal symptoms and help with pain, anxiety, and sleep?",Which,222,Gabapentin,Specifications,1,1.0,"['Which', 'can', 'help', 'reduce', 'withdrawal', 'symptoms', 'and', 'help', 'with', 'pain', ',', 'anxiety', ',', 'and', 'sleep', '?']",['Gabapentin'],16,1
"Which can help with pain, anxiety, and sleep?",Which,223,Gabapentin,Specifications,1,1.0,"['Which', 'can', 'help', 'with', 'pain', ',', 'anxiety', ',', 'and', 'sleep', '?']",['Gabapentin'],11,1
What to consider to reduce withdrawal symptoms during the taper?,What,224,use of adjuvant medications,Specifications,1,1.0,"['What', 'to', 'consider', 'to', 'reduce', 'withdrawal', 'symptoms', 'during', 'the', 'taper', '?']","['use', 'of', 'adjuvant', 'medications']",11,4
What is the alternative treatment option for autonomic symptoms using Gabapentin?,What,225,start at 100 to 300 mg and titrate to 1800 to 2100 mg divided in 2 to 3 daily doses; adjust dose if renal impairment,Specifications,1,1.0,"['What', 'is', 'the', 'alternative', 'treatment', 'option', 'for', 'autonomic', 'symptoms', 'using', 'Gabapentin', '?']","['start', 'at', '100', 'to', '300', 'mg', 'and', 'titrate', 'to', '1800', 'to', '2100', 'mg', 'divided', 'in', '2', 'to', '3', 'daily', 'doses', ';', 'adjust', 'dose', 'if', 'renal', 'impairment']",12,26
What do autonomic symptoms include?,What,226,"sweating, tachycardia, myoclonus",Specifications,1,1.0,"['What', 'do', 'autonomic', 'symptoms', 'include', '?']","['sweating', ',', 'tachycardia', ',', 'myoclonus']",6,5
What is the alternative treatment option for autonomic symptoms using Tizanidine?,What,227,"4 mg three times daily, can increase to 8 mg three times daily",Specifications,1,1.0,"['What', 'is', 'the', 'alternative', 'treatment', 'option', 'for', 'autonomic', 'symptoms', 'using', 'Tizanidine', '?']","['4', 'mg', 'three', 'times', 'daily', ',', 'can', 'increase', 'to', '8', 'mg', 'three', 'times', 'daily']",12,14
How many discharges in the emergency department included prescriptions for opioids?,How,0,at least 17%,Background,0,0.5,"['How', 'many', 'discharges', 'in', 'the', 'emergency', 'department', 'included', 'prescriptions', 'for', 'opioids', '?']","['at', 'least', '17', '%']",12,4
Who is sponsoring the training and related management support?,Who,5,Defense Centers of  Excellence for Psychological Health and Traumatic Brain Injury,Background,1,1.0,"['Who', 'is', 'sponsoring', 'the', 'training', 'and', 'related', 'management', 'support', '?']","['Defense', 'Centers', 'of', ' ', 'Excellence', 'for', 'Psychological', 'Health', 'and', 'Traumatic', 'Brain', 'Injury']",10,12
Which training program was launched according to the mandate by the presidential memorandum of October 2015?,Which,6,DoD Opioid Prescriber Safety  Training Program,Background,1,1.0,"['Which', 'training', 'program', 'was', 'launched', 'according', 'to', 'the', 'mandate', 'by', 'the', 'presidential', 'memorandum', 'of', 'October', '2015', '?']","['DoD', 'Opioid', 'Prescriber', 'Safety', ' ', 'Training', 'Program']",17,7
What was mandated by the presidential memorandum of October 2015?,What,7,"executive departments and agencies shall, to the extent permitted by law, provide training on the appropriate and effective prescribing of opioid medications to all employees who are health care professionals and who prescribe controlled substances as part of their federal responsibilities and duties",Background,0,0.047619047619047616,"['What', 'was', 'mandated', 'by', 'the', 'presidential', 'memorandum', 'of', 'October', '2015', '?']","['executive', 'departments', 'and', 'agencies', 'shall', ',', 'to', 'the', 'extent', 'permitted', 'by', 'law', ',', 'provide', 'training', 'on', 'the', 'appropriate', 'and', 'effective', 'prescribing', 'of', 'opioid', 'medications', 'to', 'all', 'employees', 'who', 'are', 'health', 'care', 'professionals', 'and', 'who', 'prescribe', 'controlled', 'substances', 'as', 'part', 'of', 'their', 'federal', 'responsibilities', 'and', 'duties']",11,45
What does the DoD Opioid Prescriber Safety  Training Program include?,What,8,"modules on pain management and opioid prescribing safety, the recent Centers for Disease Control and Prevention (CDC) guideline, and the identification of substance misuse and referral to specialized services",Background,0,0.07142857142857142,"['What', 'does', 'the', 'DoD', 'Opioid', 'Prescriber', 'Safety', ' ', 'Training', 'Program', 'include', '?']","['modules', 'on', 'pain', 'management', 'and', 'opioid', 'prescribing', 'safety', ',', 'the', 'recent', 'Centers', 'for', 'Disease', 'Control', 'and', 'Prevention', '(', 'CDC', ')', 'guideline', ',', 'and', 'the', 'identification', 'of', 'substance', 'misuse', 'and', 'referral', 'to', 'specialized', 'services']",12,33
Who mandated training on the appropriate and effective prescribing of opioid medications to all employees who prescribe controlled substances as part of their federal responsibilities and duties?,Who,9,The presidential memorandum of October 2015,Background,1,1.0,"['Who', 'mandated', 'training', 'on', 'the', 'appropriate', 'and', 'effective', 'prescribing', 'of', 'opioid', 'medications', 'to', 'all', 'employees', 'who', 'prescribe', 'controlled', 'substances', 'as', 'part', 'of', 'their', 'federal', 'responsibilities', 'and', 'duties', '?']","['The', 'presidential', 'memorandum', 'of', 'October', '2015']",28,6
Where can the DoD Opioid Prescriber Safety  Training Program be found?,Where,10,http://opstp.cds.pesgce.com/hub.php,Background,1,1.0,"['Where', 'can', 'the', 'DoD', 'Opioid', 'Prescriber', 'Safety', ' ', 'Training', 'Program', 'be', 'found', '?']",['http://opstp.cds.pesgce.com/hub.php'],13,1
Who mandated training on the appropriate and effective prescribing of opioid medications to all employees who are health care professionals?,Who,11,The presidential memorandum of October 2015,Background,1,1.0,"['Who', 'mandated', 'training', 'on', 'the', 'appropriate', 'and', 'effective', 'prescribing', 'of', 'opioid', 'medications', 'to', 'all', 'employees', 'who', 'are', 'health', 'care', 'professionals', '?']","['The', 'presidential', 'memorandum', 'of', 'October', '2015']",21,6
What do prolonged symptoms include?,What,12,"irritability, fatigue, bradycardia, decreased body temperature, craving, insomnia",Specifications,1,1.0,"['What', 'do', 'prolonged', 'symptoms', 'include', '?']","['irritability', ',', 'fatigue', ',', 'bradycardia', ',', 'decreased', 'body', 'temperature', ',', 'craving', ',', 'insomnia']",6,13
What do late symptoms include?,What,13,"runny nose, tearing eyes, rapid breathing, yawning, tremor, diffuse muscle spasms/aches, piloerection, nausea, vomiting, and diarrhea, abdominal pain, fever, chills, increased white blood cells if sudden withdrawal",Specifications,0,0.25806451612903225,"['What', 'do', 'late', 'symptoms', 'include', '?']","['runny', 'nose', ',', 'tearing', 'eyes', ',', 'rapid', 'breathing', ',', 'yawning', ',', 'tremor', ',', 'diffuse', 'muscle', 'spasms', '/', 'aches', ',', 'piloerection', ',', 'nausea', ',', 'vomiting', ',', 'and', 'diarrhea', ',', 'abdominal', 'pain', ',', 'fever', ',', 'chills', ',', 'increased', 'white', 'blood', 'cells', 'if', 'sudden', 'withdrawal']",6,42
How long does it take for prolonged withdrawal symptoms to appear?,How,14,weeks to months,Specifications,1,1.0,"['How', 'long', 'does', 'it', 'take', 'for', 'prolonged', 'withdrawal', 'symptoms', 'to', 'appear', '?']","['weeks', 'to', 'months']",12,3
How long does it take for early withdrawal symptoms to appear?,How,15,hours to days,Specifications,1,1.0,"['How', 'long', 'does', 'it', 'take', 'for', 'early', 'withdrawal', 'symptoms', 'to', 'appear', '?']","['hours', 'to', 'days']",12,3
