Question,Question Type,QID,title_old,Answer,TITLE
What is the stance regarding alternatives to opioid therapy such as self-management strategies and other non-pharmacological treatments?,What,722,"Discussion of Recommendations: Initiation and Continuation of Opioids: Recommendation 
",recommend,Recommendations
When should non-opioids be recommended over opioids?,When,723,"Discussion of Recommendations: Initiation and Continuation of Opioids: Recommendation 
",When pharmacologic therapies are used,Recommendations
What are some alternatives to opioid therapy?,What,724,"Discussion of Recommendations: Initiation and Continuation of Opioids: Recommendation 
",self-management strategies and other non-pharmacological treatments,Recommendations
Why non-opioid  treatments are preferred for chronic pain?,Why,725,"Discussion of Recommendations: Initiation and Continuation of Opioids: Discussion 
",Given the lack of evidence  showing sustained functional benefit of LOT and moderate evidence outlining harms,Recommendations
What must be factored into clinical decision making on a case-by-case basis?,What,727,"Discussion of Recommendations: Initiation and Continuation of Opioids: Discussion 
","Patient values, goals, concerns, and preferences",Recommendations
What needs to be considered when considering the initiation or continuation of LOT?,What,728,"Discussion of Recommendations: Initiation and Continuation of Opioids: Discussion 
","consider whether LOT will result in clinically meaningful  improvements in function such as readiness to return to work/duty and/or measurable improvement in  other areas of function, such that the benefits outweigh the potential harms",Recommendations
What does the literature say about the the benefit of LOT?,What,729,"Discussion of Recommendations: Initiation and Continuation of Opioids: Discussion 
",there is currently no evidence in the literature documenting the benefit of LOT that demonstrates  improvement in pain and function,Recommendations
What to do if a  decision is made to initiate LOT?,What,730,"Discussion of Recommendations: Initiation and Continuation of Opioids: Discussion 
",a careful assessment of benefits and risks should be made to ensure that  the benefits are expected to outweigh the well-documented risks,Recommendations
What kind of treatment plan should be integrated into the patient’s care prrior to considering LOT?,What,731,"Discussion of Recommendations: Initiation and Continuation of Opioids: Discussion 
",multimodal,Recommendations
What to do once opioid therapy is initiated?,What,732,"Discussion of Recommendations: Initiation and Continuation of Opioids: Discussion 
",all opioid risk mitigation strategies outlined in this guideline (see Recommendation 7) should be put into  place,Recommendations
"Why did the National Academy of Medicine investigated and reported on the state of pain research, treatment, and  education in the U.S. in 2011?",Why,733,"Discussion of Recommendations: Initiation and Continuation of Opioids: Discussion 
",in response to the recognition of pain and its management as a public health problem,Recommendations
"What was the impact of the report on the state of pain research, treatment, and  education in the U.S. by the National Academy of Medicine in 2011?",What,736,"Discussion of Recommendations: Initiation and Continuation of Opioids: Discussion 
",The report called for a cultural transformation in the way pain is viewed and  treated.,Recommendations
What does the U.S. Department of Health and Human Services (HHS) National Pain Strategy  (March 2016) recommend?,What,737,"Discussion of Recommendations: Initiation and Continuation of Opioids: Discussion 
",a biopsychosocial approach to pain care that is multimodal and  interdisciplinary,Recommendations
Who does recommend a biopsychosocial approach to pain care that is multimodal and interdisciplinary?,Who,738,"Discussion of Recommendations: Initiation and Continuation of Opioids: Discussion 
",the U.S. Department of Health and Human Services (HHS) National Pain Strategy  (March 2016),Recommendations
What are included in the underlying concepts of the biopsychosocial model of pain?,What,739,"Discussion of Recommendations: Initiation and Continuation of Opioids: Discussion 
","pain perception and its effects on the patient’s function is mediated by multiple factors (e.g., mood, social  support, prior experience, biomechanical factors), not just biology alone",Recommendations
What have been found to be effective for pain reduction in multiple pain conditions?,What,740,"Discussion of Recommendations: Initiation and Continuation of Opioids: Discussion 
","Psychological therapies (e.g., cognitive behavioral interventions such as Cognitive Behavioral Therapy  [CBT], biofeedback)",Recommendations
What do psychological therapies help?,What,741,"Discussion of Recommendations: Initiation and Continuation of Opioids: Discussion 
",effective for pain reduction in multiple pain conditions,Recommendations
What are some examples of psychological therapies?,What,742,"Discussion of Recommendations: Initiation and Continuation of Opioids: Discussion 
","cognitive behavioral interventions such as Cognitive Behavioral Therapy  [CBT], biofeedback",Recommendations
What kind of treatments can be beneficial for reducing pain intensity and disability  when compared to usual care in the treatment of chronic pain condition?,What,743,"Discussion of Recommendations: Initiation and Continuation of Opioids: Discussion 
","Exercise treatments, including yoga",Recommendations
How do exercise and  psychological therapies help reduce pain intensity and disability?,How,744,"Discussion of Recommendations: Initiation and Continuation of Opioids: Discussion 
","Exercise and  psychological therapies may each exert their influence through multiple mechanisms including but not  limited to the reduction in fear-avoidance, reduction in catastrophizing, and/or enhancing mood.",Recommendations
What kind of intervention has been  shown to be more effective than usual care in improving pain and disability?,What,745,"Discussion of Recommendations: Initiation and Continuation of Opioids: Discussion 
","multidisciplinary biopsychosocial rehabilitation (described as a combination of a physical  intervention such as graded exercise and a psychological, social, or occupational intervention)",Recommendations
What is multidisciplinary biopsychosocial rehabilitation?,What,746,"Discussion of Recommendations: Initiation and Continuation of Opioids: Discussion 
","described as a combination of a physical  intervention such as graded exercise and a psychological, social, or occupational intervention",Recommendations
Which interventions are safe and have not been shown to increase morbidity or mortality?,Which,747,"Discussion of Recommendations: Initiation and Continuation of Opioids: Discussion 
","multidisciplinary biopsychosocial rehabilitation (described as a combination of a physical  intervention such as graded exercise and a psychological, social, or occupational intervention)",Recommendations
Which treatments should be offered to all patients with chronic pain including those currently receiving LOT?,Which,748,"Discussion of Recommendations: Initiation and Continuation of Opioids: Discussion 
",exercise and psychological therapies,Recommendations
Which treatments are preferred over LOT?,Which,749,"Discussion of Recommendations: Initiation and Continuation of Opioids: Discussion 
",exercise and psychological therapies,Recommendations
Why exercise and psychological therapies should be offered to all patients with chronic pain including  those currently receiving LOT?,Why,750,"Discussion of Recommendations: Initiation and Continuation of Opioids: Discussion 
",In light of the low harms associated with exercise and psychological therapies when compared with LOT,Recommendations
Why exercise and psychological therapies are preferred over LOT?,Why,751,"Discussion of Recommendations: Initiation and Continuation of Opioids: Discussion 
",In light of the low harms associated with exercise and psychological therapies when compared with LOT,Recommendations
What evidence is there to recommend psychological over physical therapies or vice versa?,What,752,"Discussion of Recommendations: Initiation and Continuation of Opioids: Discussion 
",insufficient,Recommendations
How to choose between psychological and physical therapies as a first-try?,How,753,"Discussion of Recommendations: Initiation and Continuation of Opioids: Discussion 
",the choice of which to try first should be individualized based on patient  assessment and a shared decision making process,Recommendations
What is an example of opioid medications?,What,755,"Discussion of Recommendations: Initiation and Continuation of Opioids: Discussion 
",gabapentin in neuropathic pain states,Recommendations
What should be considered for non-opioid pharmacologic agents?,What,756,"Discussion of Recommendations: Initiation and Continuation of Opioids: Discussion 
",Potential contraindications and long-term  risks of use,Recommendations
Why should the potential contraindications and long-term  risks of use be considered for non-opioid pharmacologic agents as well?,Why,757,"Discussion of Recommendations: Initiation and Continuation of Opioids: Discussion 
","these also can carry risk  of harm, depending on the specific patient and chosen medication",Recommendations
What should be exhausted before consideration of LOT?,What,759,"Discussion of Recommendations: Initiation and Continuation of Opioids: Discussion 
",all avenues for obtaining these treatments (e.g. Internet based CBT) and all appropriate non opioid medications,Recommendations
What may help determine earlier in the course of treatment which patients are most likely to  benefit from a specific non-pharmacologic therapy or non opioid pharmacologic therapies alone or as part of a multimodal approach?,What,760,"Discussion of Recommendations: Initiation and Continuation of Opioids: Discussion 
",Further studies,Recommendations
What timeframe is recommended if prescribing opioid therapy for patients with chronic pain?,What,761,"Discussion of Recommendations: Initiation and Continuation of Opioids: Recommendations 
",a short duration,Recommendations
What does require re-evaluation and discussion with patient of risks and benefits?,What,762,"Discussion of Recommendations: Initiation and Continuation of Opioids: Recommendations 
",Consideration of opioid therapy beyond 90 days,Recommendations
What is required when considering opioid therapy beyond 90 days?,What,763,"Discussion of Recommendations: Initiation and Continuation of Opioids: Recommendations 
",re-evaluation and discussion with patient of risks and benefits,Recommendations
What is recommended for patients currently on long-term opioid therapy?,What,764,"Discussion of Recommendations: Initiation and Continuation of Opioids: Recommendations 
","ongoing risk mitigation strategies (see Recommendations 7-9), assessment for opioid use disorder, and consideration for tapering when risks exceed benefits (see Recommendation 14)",Recommendations
What is the utmost concern for patients who receive OT beyond 90 days?,What,769,"Discussion of Recommendations: Initiation and Continuation of Opioids: Discussion 
",the heightened risk for developing OUD,Recommendations
What should be weighed heavily in the risk benefit calculus for LOT?,What,770,"Discussion of Recommendations: Initiation and Continuation of Opioids: Discussion 
",continuing OT beyond 90 days’ duration,Recommendations
What is not an absolute contraindication to LOT?,What,771,"Discussion of Recommendations: Initiation and Continuation of Opioids: Discussion 
",Continuing OT for longer than 90 days,Recommendations
What must be determined through individual clinical assessment?,What,772,"Discussion of Recommendations: Initiation and Continuation of Opioids: Discussion 
",There may be some situations where the benefits of LOT clearly outweigh the risks.,Recommendations
How to determine the situations where the benefits of LOT clearly outweigh the risks?,How,773,"Discussion of Recommendations: Initiation and Continuation of Opioids: Discussion 
",through individual clinical assessment,Recommendations
Which one is the strongest predictor of developing OUD among opioid dose and duration of OT?,Which,775,"Discussion of Recommendations: Initiation and Continuation of Opioids: Discussion 
",duration of OT,Recommendations
When is the relationship between OUD and duration of therapy magnified?,When,776,"Discussion of Recommendations: Initiation and Continuation of Opioids: Discussion 
",when patients have a history of  previous opioid or non-opioid SUD,Recommendations
What to inform patient regarding progression from acute to long-term OT?,What,777,"Discussion of Recommendations: Initiation and Continuation of Opioids: Discussion 
",progression from acute to long-term OT is associated with little evidence  for sustained analgesic efficacy but a substantial increase in risk for OUD,Recommendations
What is associated with little evidence for sustained analgesic efficacy but a substantial increase in risk for OUD?,What,778,"Discussion of Recommendations: Initiation and Continuation of Opioids: Discussion 
",progression from acute to long-term OT,Recommendations
What information should be discussed with patients at initiation of OT and continuously thereafter?,What,779,"Discussion of Recommendations: Initiation and Continuation of Opioids: Discussion 
",progression from acute to long-term OT is associated with little evidence  for sustained analgesic efficacy but a substantial increase in risk for OUD,Recommendations
When should the providers discuss with patients that progression from acute to long-term OT is associated with little evidence  for sustained analgesic efficacy but a substantial increase in risk for OUD?,When,780,"Discussion of Recommendations: Initiation and Continuation of Opioids: Discussion 
",at initiation of OT and continuously thereafter,Recommendations
Why should the providers discuss with patients that progression from acute to long-term OT is associated with little evidence  for sustained analgesic efficacy but a substantial increase in risk for OUD?,Why,781,"Discussion of Recommendations: Initiation and Continuation of Opioids: Discussion 
",to ensure that the patient  understands the associated risks and benefits of LOT,Recommendations
What is necessary to more accurately determine how long it takes for OUD to occur and whether the  nature of the pain is one of the factors that can influence either of this phenomena?,What,782,"Discussion of Recommendations: Initiation and Continuation of Opioids: Discussion 
",Research,Recommendations
What is necessary to more accurately determine how long it takes for OUD to occur?,What,783,"Discussion of Recommendations: Initiation and Continuation of Opioids: Discussion 
",Research,Recommendations
What can be determined more accurately by research?,What,784,"Discussion of Recommendations: Initiation and Continuation of Opioids: Discussion 
",how long it takes for OUD to occur and whether the  nature of the pain is one of the factors that can influence either of this phenomena,Recommendations
What is the stance regarding long-term opioid therapy for pain in patients with untreated substance use disorder?,What,785,Discussion of Recommendations: Initiation and Continuation of Opioids: Recommendation,recommend against,Recommendations
What is recommended for patients currently on long-term opioid therapy with evidence of untreated substance use  disorder?,What,787,Discussion of Recommendations: Initiation and Continuation of Opioids: Recommendation,"close monitoring, including engagement in substance use disorder treatment, and discontinuation of opioid therapy for pain with appropriate tapering",Recommendations
"What does carry a significant risk for OUD, overdose, and death, especially among patients with untreated  SUD?",What,789,Discussion of Recommendations: Initiation and Continuation of Opioids: Discussion,Opioids,Recommendations
Who had higher rates  of OUD?,Who,791,Discussion of Recommendations: Initiation and Continuation of Opioids: Discussion,those diagnosed with CNCP and an alcohol use or non-opioid drug use disorder,Recommendations
What was associated with 28 times increased  odds of therapeutic opioid addiction compared to patients with CNCP without a lifetime history of SUD?,What,792,Discussion of Recommendations: Initiation and Continuation of Opioids: Discussion,the presence of a lifetime history of SUD for patients with CNCP,Recommendations
Who may disagree with the recommendation to use non-opioid modalities in lieu of LOT to treat their pain?,Who,794,Discussion of Recommendations: Initiation and Continuation of Opioids: Discussion,Some patients with SUD,Recommendations
What outweigh any potential  modest benefit of prescribing LOT in this population?,What,796,Discussion of Recommendations: Initiation and Continuation of Opioids: Discussion,"the lack of evidence of efficacy of LOT and considerable evidence of  significant harms of overdose, death from overdose, and increased risk of suicide",Recommendations
Where can the guidance on management of SUD be found?,Where,797,Discussion of Recommendations: Initiation and Continuation of Opioids: Discussion,the VA/DoD SUD CPG,Recommendations
Why is future research needed to optimize care for chronic-pain patients with and without cannabis use?,Why,798,Discussion of Recommendations: Initiation and Continuation of Opioids: Discussion,Given the increasing use of cannabis among patients with chronic pain and the lack of RCTs comparing  outcomes of prescribing LOT versus other therapies for patients with and without cannabis use and  cannabis use disorder,Recommendations
What is the stance regarding the concurrent use of benzodiazepines and opioids?,What,799,Discussion of Recommendations: Initiation and Continuation of Opioids: Recommendation,recommend against,Recommendations
What to consider for patients currently on long-term opioid therapy and benzodiazepines?,What,801,Discussion of Recommendations: Initiation and Continuation of Opioids: Recommendation,tapering one or both when risks exceed benefits and obtaining specialty consultation as appropriate,Recommendations
What is the relationship between harms and benefits for the concurrent use of benzodiazepines and LOT?,What,802,Discussion of Recommendations: Initiation and Continuation of Opioids: Discussion,Harms may outweigh benefits,Recommendations
What increases the risk of overdose and overdose death?,What,803,Discussion of Recommendations: Initiation and Continuation of Opioids: Discussion,concurrent use of benzodiazepines with prescription opioids,Recommendations
What is the effect of concurrent use of benzodiazepines with prescription opioids?,What,804,Discussion of Recommendations: Initiation and Continuation of Opioids: Discussion,increases the risk of  overdose and overdose death,Recommendations
What was highest for individuals on LOT for chronic pain (without anxiety or PTSD) who also received  concurrent long-term benzodiazepine therapy?,What,805,Discussion of Recommendations: Initiation and Continuation of Opioids: Discussion,the adjusted odds ratio (AOR) for drug  overdose,Recommendations
Who has the highest adjusted odds ratio (AOR) for drug  overdose?,Who,806,Discussion of Recommendations: Initiation and Continuation of Opioids: Discussion,individuals on LOT for chronic pain (without anxiety or PTSD) who also received  concurrent long-term benzodiazepine therapy,Recommendations
Who were at an increased risk of death from drug overdose?,Who,807,Discussion of Recommendations: Initiation and Continuation of Opioids: Discussion,Veterans receiving both opioids and  benzodiazepines,Recommendations
What is a serious risk factor for unintentional overdose death?,What,809,Discussion of Recommendations: Initiation and Continuation of Opioids: Discussion,Concurrent benzodiazepine and LOT use,Recommendations
What kind of risk is associated with concurrent benzodiazepine and LOT use?,What,810,Discussion of Recommendations: Initiation and Continuation of Opioids: Discussion,unintentional overdose death,Recommendations
What should be weighed heavily in the risk-benefit evaluation for tapering versus continuing one or both agents?,What,811,Discussion of Recommendations: Initiation and Continuation of Opioids: Discussion,Concurrent benzodiazepine and LOT use,Recommendations
"What can be challenging to discontinue due to symptoms related to benzodiazepine dependence, exacerbations of PTSD, and/or anxiety?",What,812,Discussion of Recommendations: Initiation and Continuation of Opioids: Discussion,benzodiazepines,Recommendations
Why can benzodiazepines be challenging to discontinue once initiated?,Why,813,Discussion of Recommendations: Initiation and Continuation of Opioids: Discussion,"due to symptoms related to benzodiazepine dependence, exacerbations of PTSD, and/or anxiety",Recommendations
What should be avoided?,What,814,Discussion of Recommendations: Initiation and Continuation of Opioids: Discussion,abrupt discontinuation of benzodiazepines,Recommendations
What kind of discontinuation of benzodiazepines should be avoided?,What,815,Discussion of Recommendations: Initiation and Continuation of Opioids: Discussion,abrupt,Recommendations
Why should abrupt discontinuation of benzodiazepines be avoided?,Why,816,Discussion of Recommendations: Initiation and Continuation of Opioids: Discussion,as it can lead to serious adverse  effects including seizures and death,Recommendations
How to perform tapering of benzodiazepines?,How,817,Discussion of Recommendations: Initiation and Continuation of Opioids: Discussion,with caution and  within a team environment when possible (see Recommendation 26 in the VA/DoD SUD CPG),Recommendations
What should be performed with caution and within a team environment when possible?,What,818,Discussion of Recommendations: Initiation and Continuation of Opioids: Discussion,Tapering benzodiazepines,Recommendations
Why should particular caution be used when considering initiating benzodiazepines for Veterans with PTSD who have co-occurring chronic pain?,Why,819,Discussion of Recommendations: Initiation and Continuation of Opioids: Discussion,Due to the  difficulty of tapering or discontinuing benzodiazepines,Recommendations
What does recommend against benzodiazepines for the prevention of PTSD?,What,822,Discussion of Recommendations: Initiation and Continuation of Opioids: Discussion,The VA/DoD PTSD  CPG,Recommendations
What is the stance regarding the use of benzodiazepines for the prevention of PTSD?,What,823,Discussion of Recommendations: Initiation and Continuation of Opioids: Discussion,recommends against,Recommendations
What does caution against the use of benzodiazepines in treatment of PTSD?,What,824,Discussion of Recommendations: Initiation and Continuation of Opioids: Discussion,The VA/DoD PTSD  CPG,Recommendations
What are associated with a higher incidence of PTSD symptoms?,What,825,Discussion of Recommendations: Initiation and Continuation of Opioids: Discussion,Benzodiazepines to treat acute anxiety symptoms after trauma,Recommendations
What is the effect of benzodiazepines in patients with PTSD?,What,827,Discussion of Recommendations: Initiation and Continuation of Opioids: Discussion,"Although  anxiety may initially improve with benzodiazepines, the improvement is short-lived and may result in  tolerance to increasing doses and eventual failure of the treatment.",Recommendations
What may gradual benzodiazepine taper result in?,What,828,Discussion of Recommendations: Initiation and Continuation of Opioids: Discussion,exacerbation of severe PTSD symptoms,Recommendations
What is considered a contraindication to initiation of OT?,What,830,Discussion of Recommendations: Initiation and Continuation of Opioids: Discussion,Concomitant use of benzodiazepines,Recommendations
What is not as strong as the evidence for harm associated with the combination of  opioids and benzodiazepines?,What,832,Discussion of Recommendations: Initiation and Continuation of Opioids: Discussion,"the evidence for harm associated with the combination of opioids and Z-drugs (e.g.,  zolpidem, eszopiclone)",Recommendations
What does increase the AOR of  overdose?,What,833,Discussion of Recommendations: Initiation and Continuation of Opioids: Discussion,the combination of zolpidem and opioids,Recommendations
What can happen with the combined use of antidepressants and opioids in patients who do not have depression?,What,835,Discussion of Recommendations: Initiation and Continuation of Opioids: Discussion,"potential adverse outcomes (e.g., risk of overdose)",Recommendations
What can have potential adverse outcomes in patients who do not have depression?,What,836,Discussion of Recommendations: Initiation and Continuation of Opioids: Discussion,the combined use of antidepressants and opioids,Recommendations
Who can have potential adverse outcomes with the combined use of antidepressants and opioids?,Who,837,Discussion of Recommendations: Initiation and Continuation of Opioids: Discussion,patients who do not have depression,Recommendations
What is the stance regarding long-term opioid therapy for patients less than 30 years of age  secondary to higher risk of opioid use disorder and overdose?,What,838,Discussion of Recommendations: Initiation and Continuation of Opioids: Recommendation,recommend against,Recommendations
What is recommended for patients less than 30 years of age currently on long-term opioid therapy?,What,839,Discussion of Recommendations: Initiation and Continuation of Opioids: Recommendation,close monitoring and consideration for tapering when risks exceed benefits,Recommendations
Who are at risk for OUD and overdose?,Who,840,Discussion of Recommendations: Initiation and Continuation of Opioids: Discussion,All patients who take opioids chronically,Recommendations
Which patients are especially at risk for OUD and overdose?,Which,841,Discussion of Recommendations: Initiation and Continuation of Opioids: Discussion,those who are  younger than 30 years of age,Recommendations
"How many studies examined age as a predictor of OUD,  respiratory/CNS depression, and/or overdose?",How,843,Discussion of Recommendations: Initiation and Continuation of Opioids: Discussion,Seven,Recommendations
What should be weighed heavily in the risk-benefit determination for initiating LOT?,What,844,Discussion of Recommendations: Initiation and Continuation of Opioids: Discussion,"Similar to other risk factors, age <30 years",Recommendations
What is not an absolute contraindication to LOT?,What,845,Discussion of Recommendations: Initiation and Continuation of Opioids: Discussion,Age <30 years,Recommendations
"Who are known to have less chronic pain, depression, and  PTSD when their pain is aggressively managed starting soon after injury?",Who,846,Discussion of Recommendations: Initiation and Continuation of Opioids: Discussion,Hospitalized patients  recovering from battlefield injuries,Recommendations
When may LOT be appropriate?,When,847,Discussion of Recommendations: Initiation and Continuation of Opioids: Discussion,only if risk mitigation strategies are employed and patients are titrated off LOT as soon as it is  appropriate,Recommendations
Who have an added great risk for OUD and overdose?,Who,848,Discussion of Recommendations: Initiation and Continuation of Opioids: Discussion,younger patients using opioids,Recommendations
Who did carry 11 times the odds of OUD and overdose compared to patients ≥65 years old?,Who,849,Discussion of Recommendations: Initiation and Continuation of Opioids: Discussion,patients 18-30 years old,Recommendations
Who did carry 5 times the odds of OUD and overdose compared to patients ≥65 years old?,Who,852,Discussion of Recommendations: Initiation and Continuation of Opioids: Discussion,Patients 31-40 years,Recommendations
Who had roughly half the risk of developing OUD or overdose compared to subjects 18-29 years old?,Who,855,Discussion of Recommendations: Initiation and Continuation of Opioids: Discussion,patients 30-39  years old,Recommendations
What was the amount of risk of developing OUD or overdose in patients 30-39  years old compared to subjects 18-29 years old?,What,857,Discussion of Recommendations: Initiation and Continuation of Opioids: Discussion,roughly half,Recommendations
Who had far less risk of developing OUD or overdose compared to subjects 18-29 years old?,Who,858,Discussion of Recommendations: Initiation and Continuation of Opioids: Discussion,patients ≥70 years old,Recommendations
What was the amount of risk of developing OUD or overdose in patients ≥70 years old compared to subjects 18-29 years old?,What,860,Discussion of Recommendations: Initiation and Continuation of Opioids: Discussion,far less risk (nearly 1/17),Recommendations
Who are at a higher risk of opioid misuse?,Who,861,Discussion of Recommendations: Initiation and Continuation of Opioids: Discussion,Younger patients,Recommendations
Who were significantly less likely to have an aberrant UDT in comparison to patients in the 20-44 age  group?,Who,863,Discussion of Recommendations: Initiation and Continuation of Opioids: Discussion,patients in the 45-64 year age group,Recommendations
Who were significantly less likely than 20-44 year olds to have non-detection of a prescribed opioid (indicating possible diversion)?,Who,866,Discussion of Recommendations: Initiation and Continuation of Opioids: Discussion,Patients in the 45-64 and ≥65 age groups,Recommendations
What are significantly less likely in patients in the 45-64 and ≥65 age groups than 20-44 year olds?,What,868,Discussion of Recommendations: Initiation and Continuation of Opioids: Discussion,to  have non-detection of a prescribed opioid as well (indicating possible diversion),Recommendations
How was an age of 30 years chosen as a clinically reasonable threshold?,How,869,Discussion of Recommendations: Initiation and Continuation of Opioids: Discussion,An age of 30 years was chosen based on how age was categorized in the six studies that showed an inverse  relationship between age and OUD or overdose.,Recommendations
What kind of rationale is there to explain the the relationship between age and OUD and overdose?,What,870,Discussion of Recommendations: Initiation and Continuation of Opioids: Discussion,good neurophysiologic rationale,Recommendations
What indicate that developing brains (age <30 years) are at increased risk of abnormalities and  addiction when exposed to substance use early in life?,What,871,Discussion of Recommendations: Initiation and Continuation of Opioids: Discussion,"Studies in other areas (e.g., use of different  substances)",Recommendations
What are at increased risk of abnormalities and  addiction when exposed to substance use early in life?,What,872,Discussion of Recommendations: Initiation and Continuation of Opioids: Discussion,developing brains (age <30 years),Recommendations
What are the risks of substance use early in life?,What,873,Discussion of Recommendations: Initiation and Continuation of Opioids: Discussion,increased risk of abnormalities and  addiction,Recommendations
What can be a continuous predictor of adverse outcomes?,What,874,Discussion of Recommendations: Initiation and Continuation of Opioids: Discussion,age,Recommendations
What is recommended upon initiation of long-term opioid  therapy?,What,875,Discussion of Recommendations: Risk Mitigation: Recommendation,implementing risk mitigation strategies,Recommendations
How to implement risk mitigation strategies upon initiation of long-term opioid  therapy?,How,876,Discussion of Recommendations: Risk Mitigation: Recommendation,starting with an informed consent conversation covering the risks and benefits of opioid  therapy as well as alternative therapies,Recommendations
What should be commensurate with risk factors?,What,877,Discussion of Recommendations: Risk Mitigation: Recommendation,The strategies and their frequency,Recommendations
What should be included in the risk mitigation strategies and their frequency?,What,878,Discussion of Recommendations: Risk Mitigation: Recommendation,"Ongoing, random urine drug testing (including appropriate confirmatory testing), Checking state prescription drug monitoring programs, Monitoring for overdose potential and suicidality, Providing overdose education, Prescribing of naloxone rescue and accompanying education",Recommendations
When should risk mitigation for LOT begin?,When,879,Discussion of Recommendations: Risk Mitigation: Discussion,before the opioids are prescribed,Recommendations
What should be done before the opioids are prescribed?,What,880,Discussion of Recommendations: Risk Mitigation: Discussion,Risk mitigation for LOT should begin,Recommendations
How should risk mitigation for LOT begin before the opioids are prescribed?,How,881,Discussion of Recommendations: Risk Mitigation: Discussion,"through an informed consent  discussion, reviewing the patient’s history, checking state PDMPs, or instructing patients about using drug  take back programs to dispose of unused medication",Recommendations
When should risk mitigation for LOT occur?,When,882,Discussion of Recommendations: Risk Mitigation: Discussion,"concurrently with the therapy  (e.g., ongoing UDT, OEND) and in response to adverse events (e.g., needle exchange programs for those  who develop an intravenous drug use disorder)",Recommendations
What was the recommendation in the 2010 OT CPG?,What,883,Discussion of Recommendations: Risk Mitigation: Discussion,"use of an opioid pain  care agreement, monitoring for appropriate opioid use, and, with patients’ consent, obtaining a UDT",Recommendations
What kind of evidence is there to support the use of OTAs and UDT?,What,885,Discussion of Recommendations: Risk Mitigation: Discussion,weak,Recommendations
What is OTAs?,What,886,Discussion of Recommendations: Risk Mitigation: Discussion,opioid treatment agreements,Recommendations
What is the relationship between patient values and preferences?,What,887,Discussion of Recommendations: Risk Mitigation: Discussion,There may be some variation,Recommendations
What does implementing more extensive risk mitigation strategies entail?,What,889,Discussion of Recommendations: Risk Mitigation: Discussion,an investment of resources,Recommendations
Why may primary care providers require more time with patients?,Why,890,Discussion of Recommendations: Risk Mitigation: Discussion,to allow for shared decision making and treatment planning,Recommendations
What would happen if there were a more frequent follow-up of patients on LOT?,What,891,Discussion of Recommendations: Risk Mitigation: Discussion,can affect access to care for all empaneled patients,Recommendations
What must VHA providers follow when providing LOT for patients with non-cancer pain?,What,892,Discussion of Recommendations: Risk Mitigation: Discussion,VHA policy regarding education and signature informed consent,Recommendations
When must VHA providers follow VHA policy regarding education and signature informed consent?,When,893,Discussion of Recommendations: Risk Mitigation: Discussion,when  providing LOT for patients with non-cancer pain,Recommendations
Who must follow VHA policy regarding education and signature informed consent when providing LOT for patients with non-cancer pain?,Who,894,Discussion of Recommendations: Risk Mitigation: Discussion,VHA providers,Recommendations
What did the 2010 OT CPG reflect?,What,895,"Discussion of Recommendations: Risk Mitigation: Discussion: Written Informed Consent and Opioid Treatment Agreements 
",prior  practice of using opioid treatment (or pain care) agreements,Recommendations
How have OTAs been described in the 2010 OT CPG?,How,896,"Discussion of Recommendations: Risk Mitigation: Discussion: Written Informed Consent and Opioid Treatment Agreements 
","as coercive rather  than therapeutic, lack respect for individual autonomy, can be a barrier to pain care, and may be harmful  to the patient-provider relationship",Recommendations
"Why should an optimal approach to care should include a robust,  signature informed consent process?",Why,897,"Discussion of Recommendations: Risk Mitigation: Discussion: Written Informed Consent and Opioid Treatment Agreements 
",Given the recognized risks of opioid therapy,Recommendations
What did VA establish in 2014 regarding OT and treatment alternatives?,What,900,"Discussion of Recommendations: Risk Mitigation: Discussion: Written Informed Consent and Opioid Treatment Agreements 
","a requirement for  signature informed consent, consistent with VA policy for other treatments or procedures with a  significant risk of complications or morbidity",Recommendations
What may patients decline?,What,901,"Discussion of Recommendations: Risk Mitigation: Discussion: Written Informed Consent and Opioid Treatment Agreements 
","offered treatments (e.g., OT) and may also decline risk mitigation strategies (e.g.,  UDT, pill counts) that are recommended in the course of clinical care",Recommendations
What are used throughout the country for detection of multi-sourcing of controlled substances?,What,902,Discussion of Recommendations: Risk Mitigation: Discussion: State Prescription Drug Monitoring Programs,State database queries,Recommendations
Who recommends at least quarterly checks of the state database system?,Who,905,Discussion of Recommendations: Risk Mitigation: Discussion: State Prescription Drug Monitoring Programs,The CDC,Recommendations
Why is UDT and confirmatory testing used as an additional method of examining for patient substance misuse and adherence to the  prescribed regimen?,Why,907,Discussion of Recommendations: Risk Mitigation: Discussion: Urine Drug Testing and Confirmatory Testing,As substance misuse in patients on LOT is more than 30% in some series,Recommendations
What do UDTs do when used appropriately?,What,908,Discussion of Recommendations: Risk Mitigation: Discussion: Urine Drug Testing and Confirmatory Testing,"help to address safety, fairness, and trust with OT",Recommendations
What is critical due to the false positive and negative rates associated with UDTs?,What,909,Discussion of Recommendations: Risk Mitigation: Discussion: Urine Drug Testing and Confirmatory Testing,"Availability of accurate and timely confirmatory testing (e.g., gas chromatography-mass spectrometry  [GCMS])",Recommendations
What does require education and knowledge of the local procedures and clinical  scenario?,What,911,Discussion of Recommendations: Risk Mitigation: Discussion: Urine Drug Testing and Confirmatory Testing,Interpretation of a  UDT and confirmatory results,Recommendations
