Question,Question Type,QID
On which kind of opioids the use of the distribution of naloxone has established clinical efficacy?,Which,925
On which kind of opioids the use of the distribution of naloxone does not have established clinical efficacy?,Which,926
Which opioids are responsible for a recent rise in death rates?,Which,927
What are some examples of synthetic opioids?,What,928
What can cause a toxidrome?,What,929
What can be caused by fentanyl analogs that may be used to create counterfeit opioid analgesic pills?,What,930
Who may benefit from an alternative management strategy?,Who,931
Patients receiving opioid analgesics who do not meet DSM-5 criteria for OUD may benefit from what?,What,932
What is the alternative management strategy that is beneficial for patients receiving opioid analgesics who do not meet DSM-5 criteria for OUD?,What,933
What has been explored as a strategy to reduce the amount of opioids in  the community?,What,934
What is the ratio of opioid prescriptions that are left unused?,What,935
Returning unused opioid medications has been explored as a strategy for what?,What,936
Why has returning unused opioid medications been explored as a strategy to reduce the amount of opioids in  the community?,Why,937
Who does advocate take back programs as an effective tool?,Who,938
What does the National Drug Control Strategy advocate?,What,939
The National Drug Control Strategy advocates take back programs as what?,What,940
"In a 2013 medication take back event in a Michigan community, how many containers were collected in four hours?",How,941
What were the top five most common medications collected in a 2013 medication take back event in a Michigan community?,What,942
What is the ratio of new users of injectable opioids who had previously used prescription oral opioid pain medication?,What,943
What is accompanied by an increased rate of the human immunodeficiency virus (HIV) and hepatitis infection?,What,944
What accompanies the illicit use of injectable opioids?,What,945
What has been an effective risk mitigation strategy for reducing high-risk behaviors and infectious disease transmission among injection drug users?,What,946
What is an example of high-risk behaviors?,What,947
Community-based needle exchange programs have been shown to do what?,What,948
For which patients the first recommendation should be for medication assisted treatment (MAT) for OUD?,Which,949
What is the first recommendation for patients who develop OUD and progress to intravenous drug use?,What,950
"For whom should clinicians consider educating the patient regarding sterile injection techniques and community-based needle exchange programs, if programs are available?",Who,951
What should the clinicians do for patients who decline MAT for OUD?,What,952
What is an example of the threat to rural communities from non-prescription opioid use and the potential benefits of needle exchange programs for use as a risk mitigation strategy?,What,953
The 2015 outbreak of HIV/hepatitis in rural Indiana and subsequent successful implementation of a needle exchange program is an example of what?,What,954
What is recommended when considering initiating or continuing long-term opioid therapy?,What,955
Which medications are lethal?,Which,956
What should be done at every phase of treatment?,What,957
When should an assessment of current suicide risk be made?,When,958
Who recommends restricting the availability of lethal means for patients considered to be at intermediate or high acute risk of suicide?,Who,959
For which patients the VA/DoD Suicide CPG recommends restricting the availability of lethal means?,Which,960
How to determine the acuteness of suicide risk in patients?,How,961
What is considered to be an important risk factor for OT?,What,962
Is there any evidence that certain chronic pain conditions represent an independent risk factor for suicide?,Is there,963
Which represent an independent risk factor for suicide?,Which,964
What is represented by chronic pain conditions?,What,965
Is there any evidence that suggests an association with prescribed opioid dose and suicide risk among Veterans receiving OT for CNCP?,Is there,966
What is associated with prescribed opioid dose?,What,967
What is associated with suicide risk among Veterans receiving OT for CNCP?,What,968
What is not static?,What,969
What is influenced by many factors?,What,970
What influence an individual’s risk of suicide at any given point in time?,What,971
"Why is ongoing assessment of suicide risk important whether one is initiating, maintaining,  or terminating LOT?",Why,972
When is it important to assess suicide risk?,When,973
Is there any evidence that intensification of monitoring helps mitigate the risk of suicide among patients on LOT?,Is there,974
What does help mitigate the risk of suicide among patients on LOT?,What,975
Intensification of monitoring helps with what?,What,976
"Is there any evidence that, at the facility level, patients on LOT within facilities ordering more drug screens than the comparison group were associated with decreased risk of suicide attempt?",Is there,977
What were associated with decreased risk of suicide attempt?,What,978
Patients on long-acting opioids within the facilities providing more follow-up after new prescriptions  were associated with what?,What,979
Who may threaten suicide when providers recommend discontinuation of opioids?,Who,980
"Some patients on LOT who suffer from chronic pain and co-occurring OUD, depression, and/or personality disorders may do what?",What,981
What is not recommended as an appropriate response if suicide risk is high or increases?,What,982
When is continuing LOT not recommended?,When,983
Why is continuing LOT not recommended to “prevent suicide” in someone with chronic pain?,Why,984
"In which cases it is essential to involve behavioral health to assess, monitor, and treat a patient who becomes destabilized as a result of a medically appropriate decision to taper or cease LOT?",Who,985
What is essential to do when a patient becomes destabilized as a result of a medically appropriate decision to taper or cease LOT?,What,986
What is needed to identify strategies for safely managing patients at elevated risk of suicide who demand opioid medications or become further destabilized during tapering?,What,987
Further research is needed for what?,What,988
How often is it recommended to evaluate the benefits of continued opioid therapy and the risk for opioid-related adverse events?,How,989
What to do before initiating OT?,What,990
What to do after initiating OT?,What,991
When to follow up?,When,992
Why follow up at least every three months or more frequently?,Why,993
Why is frequent follow-up needed?,Why,994
How to decide the frequency of follow-up visits?,How,995
How frequently should the harms versus benefits be re-evaluated according to the CDC guideline?,How,996
What to do at follow-up visits?,What,997
What to consider at the time of re-examining at a follow-up visit?,What,998
What may change the risk/benefit calculus for LOT?,What,999
What is included in the ongoing OT prescribing practice?,What,1000
What to be aware of during follow-ups?,What,1001
What is the relationship between the length of OT and opioid-related harms?,What,1002
What is the recommended dose of opioids?,What,1003
Is there any absolutely safe dose of opioids?,Is there,1004
What to do with the increment of opioid dosage and risk?,What,1005
At what dose do risks for opioid use disorder begin?,What,1006
At what dose do risks for opioid use disorder increase?,What,1007
At what dose do the risks for overdose and death increase?,What,1008
What opioid dose is not recommended for treating chronic pain?,What,1009
What is recommended for patients who are currently prescribed doses over 90 mg morphine equivalent daily dose?,What,1010
Is there any evidence that risk of prescription opioid overdose and overdose death exists even at low opioid dosage levels and increases with increasing doses?,Is there,1011
At what dosage there is a significant risk?,What,1012
At what dosage does the risk increase even further?,What,1013
How much does the risk increase at a daily dosage range of 20 to <50 mg MEDD?,How,1014
How much does the risk increase at a range of 50 to <100 mg MEDD compared to risk at <20 mg MEDD?,How,1015
What is a good predictor of overdose death?,What,1016
"Is there any study on the outcome of population-based rates of opioid overdose mortality by opioid dose, without the use of a presupposed threshold?",Is there,1017
Which step should be taken to address the problem of opioid-related overdose epidemic?,Which,1018
What is the relationship between opioid dosage and risks of opioid overdose?,What,1019
Which factors increase the risk of opioid overdose?,Which,1020
What should be individualized based upon patient characteristics and preferences?,What,1021
"Who will have greater mortality, co-occurring medical conditions, and other adverse events?",Who,1022
Who will have greater mortality?,Who,1023
Who will have co-occurring medical conditions?,Who,1024
Who will have other adverse events?,Who,1025
What should be considered when a closer follow-up is needed?,What,1026
Who is at a high risk of prescription opioid overdose?,Who,1027
"Following an elevated baseline adjusted risk ratio (ARR) of 3.96, what were the odds of overdose in depressed patients taking 1-19 mg, 20 to <50 mg, 50 to <100 mg, and ≥100 mg MEDD?",What,1028
What does increase the risk for serious prescription opioid-related toxicity or overdose across opioid dosages in patients?,What,1029
What does increase the risk of fatal or non-fatal opioid overdose 2-10 fold across opioid dose ranges?,What,1030
What does place patients at elevated risk for opioid overdose?,What,1031
"In patients receiving LOT, who are 50% more likely to escalate to high-dose opioids and twice as likely to  experience an opioid-related death?",Who,1032
What needs to be better determined by researchers?,What,1033
What should not be used for treatment of acute pain?,What,1034
Which opioid/opioid formulation is preferred over the others?,Which,1035
Which opioid/opioid formulation did not have enough evidence to be recommended for or against?,Which,1036
Which long-acting agents can be used for acute pain?,Which,1037
What was the efficacy of long-acting opioids used once-daily compared to twice-daily use?,What,1038
Who has a significantly increased risk  of all-cause mortality compared to patients with CNCP who are taking an analgesic anticonvulsants or a  low-dose antidepressant?,Who,1039
What should be approached with extreme caution and warrants specialty consultation?,What,1040
Which opioid delivery for opioids has significant potential for harm from OT?,Which,1041
Which delivery mechanism has no evidence of benefit ove traditional opioid delivery systems in patients with chronic pain? ,Which,1042
What are the risks associated with a fentanyl transdermal delivery system (or patch)?,What,1043
Which specific safety precautions should all clinicians be aware of regarding transdermal fentanyl?,Which,1044
What is the aim of most abuse deterrent formulations?,What,1045
"What can be added to interfere with, reduce, or defeat the euphoria  associated with abuse of an agent intended for oral use when taken nasally or parenterally?",What,1046
What is the most common method of abuse?,What,1047
What is the stance regarding the abuse deterrent formulations for LOT?,What,1048
What is needed to ascertain whether abuse deterrent formulations actually reduce OUD when used for chronic pain? ,What,1049
"What is needed to ascertain whether said formulations differ across clinical outcomes such as pain, function,  and adverse events?  ",What,1050
What is included in the dual-mechanism opioids?,What,1051
What are the examples of dual-mechanism opioids?,What,1052
What are the differences between tramadol and tapentadol?,What,1053
Is there any evidence of the comparative efficacy of tramadol versus another opioid or a non-opioid comparison such  as non-steroidal anti-inflammatory drugs (NSAIDs) or acetaminophen?,Is there,1054
What is recommended for mild-to-moderate acute pain?,What,1055
What is sugested when opioids are used for acute pain?,What,1056
What is recommended if take-home opioids are prescribed?,What,1057
What should be offered to patients?,What,1058
What can can be a gateway to LOT?,What,1059
Who are at an increased risks of acute OT extending into LOT?,Who,1060
What does increase the risk of acute post-operative OT progressing into LOT?,What,1061
What does risk of overdose include?,What,1062
Which factors increase overdose risk when opioids are used for acute pain?,Which,1063
Which opioid risk mitigation strategies should be incorporateed into opioid prescribing for acute pain?,Which,1064
Which strategies may be helpful for those at higher risk of adverse events related to opioid therapy?,Which,1065
Depending on which factors monitoring standards with administration of OT for acute pain vary?,Which,1066
For whom is this guideline intended?,Who,1067
What are the limitation of this CPG?,What,1068
How are the standards of care determined?,How,1069
What is not the intention of this guideline?,What,1070
This CPG is based on what?,What,1071
How to use a CPG?,How,1072
What is this OT CPG designed to do?,What,1073
For whom is his CPG is intended?,Who,1074
What does this CPG not do?,What,1075
What kind of approach is highly recommended for communication with a patient?,What,1076
Why is an empathetic and non-judgmental approach highly recommended for communication with a patient?,Why,1077
Why only nine key questions (KQs) were prioritized from many possible KQs?,Why,1078
What does the 2017 version of the VA/DoD OT CPG provide?,What,1079
What is the scope of this CPG?,What,1080
What is the strength of this CPG?,What,1081
Which factors were considered for the framework for recommendations in this CPG?,Which,1082
What methodology was used in developing the 2017 CPG?,What,1083
What does the VA/DoD Guideline for Guidelines provide?,What,1084
What does VA/DoD CPGs encourage clinicians to do?,What,1085
What should all patients in the healthcare system be offered?,What,1086
What is the purpose of patient-centered care?,What,1087
What can be used to convey openness to discuss any future concerns?,What,1088
What should the clinicians do as part of the patient-centered care approach?,What,1089
What should the clinicians ask the patient?,What,1090
What is the basis of the shared decision making process for chronic pain treatment planning?,What,1091
What does the patient-centered assessment incorporate?,What,1092
What can facilitate clinical risk assessment and adherence to risk mitigation?,What,1093
Which electronic tools are currently used in the VA?,Which,1094
What does the OTRR do?,What,1095
What does the STORM tool do?,What,1096
