title,context,question,answer
Module A: Determination of Appropriateness for Opioid Therapy,"The components of biopsychosocial assessment are pain assessment, patient functional goals, impact of pain on family, work, life, review of previous diagnostic studies, additional consultations and referrals, coexisting illness and treatments and effect on pain, significant psychological, social, or behavioral factors that may affect treatment, family history of chronic pain, collateral of family involvement, patient beliefs/knowledge of the cause of their pain and their treatment preferences along with the perceived efficacy of various treatment options. For patients already on OT, include assessment of psychological factors related to continuing vs. tapering OT. The psychological factors are beliefs, expectations, fears. Pain assessment includes history, physical exam, comorbidities, previous treatment and medications, duration of symptoms, onset and triggers. Examples of absolute contraindications to initiating opioid therapy for chronic pain are true life-threatening allergy to opioids, active SUD, elevated suicide risk, concomitant use of benzodiazepines. LOT refers to long-term opioid therapy; OT refers to opioid therapy; PDMP refers to Prescription Drug Monitoring Program; SUD refers to substance use disorder; UDT refers to urine drug test; VA/DoD Suicide CPG refers to VA/DoD Clinical Practice Guideline for the Assessment and Management of Patients at Risk for Suicide.",What to assess for patients already on OT?,psychological factors related to continuing vs. tapering OT
Pain Management Opioid Taper Decision Tool,"Short-term oral medications can be utilized to assist with managing the withdrawal symptoms, especially when prescribing fast tapers. Do not treat withdrawal symptoms with an opioid or benzodiazepine. Withdrawal symptoms are not life-threatening and may not be seen with a gradual taper. Early symptoms take hours to days to appear. Early symptoms include anxiety/restlessness, rapid short respirations, runny nose, tearing eyes, sweating, insomnia, and dilated reactive pupils. Late symptoms take days to weeks to appear. Late symptoms include runny nose, tearing eyes, rapid breathing, yawning, tremor, diffuse muscle spasms/aches, piloerection, nausea, vomiting, and diarrhea, abdominal pain, fever, chills, increased white blood cells if sudden withdrawal. Prolonged symptoms take weeks to months to appear. Prolonged symptoms include irritability, fatigue, bradycardia, decreased body temperature, craving, insomnia. Early symptoms generally resolve 5 to 10 days following opioid dose reduction/cessation but may take longer depending on the half-life of the opioid (e.g., methadone). Some symptoms of withdrawal such as dysphoria, insomnia and prolonged craving may take longer. Patients with chronic pain may find that symptoms, such as fatigue, mental functioning, pain, and well-being, improve over time.",How long does it take for prolonged withdrawal symptoms to appear?,weeks to months
Module C: Tapering or Discontinuation of Opioid Therapy,"When safety allows, a gradual taper rate (5-10% reduction every 4 weeks) allows time for neurobiological, psychological, and behavioral adaptations. When there are concerns regarding risks of tapering (e.g., unmasked OUD, exacerbation of underlying mental health conditions) consider interdisciplinary services that may include mental health, SUD, primary care, and specialty pain care. Address concerns that may negatively impact taper (e.g., inability for adequate follow-up, inability to provide adequate treatment for co-occurring medical and mental health conditions and SUD). Patient and treatment characteristics to consider when determining tapering strategy are opioid dose, duration of therapy, type of opioid formulation, psychiatric, medical and SUD comorbidities and other patient risk factors. Other patient risk factors include non-adherence, high-risk medication-related behavior, strength of social support, and coping.",What are the risks associated with tapering?,"unmasked OUD, exacerbation of underlying mental health conditions"
Pain Management Opioid Taper Decision Tool,"The treatment options for anxiety, dysphoria, lacrimation, and rhinorrhea are hydroxyzine 25 to 50 mg three times a day as needed, diphenhydramine 25 mg every 6 hours as needed. Avoid diphenhydramine for Veterans older than 65 years. The treatment options for myalgias are NSAIDs (e.g., naproxen 375 to 500 mg twice daily or ibuprofen 400 to 600 mg four times daily), acetaminophen 650 mg every 6 hours as needed, topical medications like menthol/methylsalicylate cream, lidocaine cream/ointment. For NSAIDs, be cautious for patients with risk of GI bleed, renal compromise, cardiac disease. The treatment option for sleep disturbance is Trazodone 25 to 300 mg orally at bedtime.","What are the treatment options for anxiety, dysphoria, lacrimation, and rhinorrhea?","hydroxyzine 25 to 50 mg three times a day as needed, diphenhydramine 25 mg every 6 hours as needed"
Pain Management Opioid Taper Decision Tool,"Use a shared decision-making approach to discuss options for OUD treatment. Medication-Assisted Therapy (MAT) is the first-line treatment for OUD. The preferred OUD treatment is Opioid Agonist Therapy (OAT). Opioid agonist treatment involves taking opioid agonist medications such as buprenorphine/naloxone (Suboxone) or methadone. Methadone must be provided through a federally regulated opioid treatment program for OUD therapy. The alternative OUD treatment is extended-release (ER) injectable naltrexone (Vivitrol). MAT can be provided in a variety of treatment settings including residential SUD treatment, intensive outpatient SUD treatment, regular SUD specialty care clinic, primary care or general mental health clinic, or federally regulated opioid treatment program. Moral injury is an act of transgression that leads to serious inner conflict typically brought on by betrayal, disproportionate violence, incidents involving civilians, within-rank violence. For moral injury, treatment via psychologists or chaplains is available. Central sensitization (e .g., fibromyalgia, chronic headaches, and likely many other types of complex chronic pain). Some examples of medical complications are lung disease, hepatic disease, renal disease, or fall risk. Sleep apnea is a sleep disorder.",How to treat a moral injury?,via psychologists or chaplains
Pain Management Opioid Taper Decision Tool,"Ensure screening and treatment is offered for conditions that can complicate pain management before initiating an opioid taper. Conditions that can complicate pain management are mental health disorders, OUD and other SUD, moral injury, central sensitization, medical complications, sleep disorders. Mental health disorders include PTSD, anxiety disorders, depressive disorders. If suicidal, then activate suicide prevention plan. If high suicide risk or actively suicidal, consult with mental health provider before beginning taper. The lifetime prevalence for OUD among patients receiving long-term opioid therapy is estimated to be about 41%: approximately 28% for mild symptoms, 10% for moderate symptoms and 3.5% for severe symptoms of OUD. Patients with chronic pain who develop OUD from opioid analgesic therapy need to have BOTH pain and OUD addressed. Either tapering the opioid analgesic or continuing to prescribe the opioid without providing OUD treatment may increase the risk of overdose and other adverse events.",Continuing to prescribe the opioid without providing OUD treatment may increase the risk of what?,overdose and other adverse events
Pain Management Opioid Taper Decision Tool,"Rapid Taper is done over days. Rapid tapers can cause withdrawal effects and patients should be treated with adjunctive medications to minimize these effects; may need to consider admitting the patient for inpatient care. If patients are prescribed both long-acting and short-acting opioids, the decision about which formulation to be tapered first should be individualized based on medical history, mental health diagnoses, and patient preference. Data shows that overdose risk is greater with long-acting preparations. In rapid taper, reduce opioid by 20 to 50% of first dose if needed, then reduce by 10 to 20% every day. An example of the rapid taper is given below. During the first day in the rapid taper, 33% reduction of morphine SR 90 mg Q8h = 270 MEDD consists of 60 mg SR (15 mg x 4) Q8h. The subsequent daily dosage for the rapid taper is 45 mg SR (15 mg x 3) Q8h for day 2, 30 mg SR (15 mg x 2) Q8h for day 3, 15 mg SR Q8h for day 4, 15 mg SR Q12h for day 5-7, 15 mg SR QHS for day 8-11. Stop rapid tapering after day 11 and may consider morphine IR 15 mg ½ tablet (7.5 mg) twice daily.",How to minimize withdrawal effects in patients caused by rapid tapers?,patients should be treated with adjunctive medications
Pain Management Opioid Taper Decision Tool,"The treatment options for anxiety, dysphoria, lacrimation, and rhinorrhea are hydroxyzine 25 to 50 mg three times a day as needed, diphenhydramine 25 mg every 6 hours as needed. Avoid diphenhydramine for Veterans older than 65 years. The treatment options for myalgias are NSAIDs (e.g., naproxen 375 to 500 mg twice daily or ibuprofen 400 to 600 mg four times daily), acetaminophen 650 mg every 6 hours as needed, topical medications like menthol/methylsalicylate cream, lidocaine cream/ointment. For NSAIDs, be cautious for patients with risk of GI bleed, renal compromise, cardiac disease. The treatment option for sleep disturbance is Trazodone 25 to 300 mg orally at bedtime.",What are the treatment options for myalgias?,"NSAIDs (e.g., naproxen 375 to 500 mg twice daily or ibuprofen 400 to 600 mg four times daily), acetaminophen 650 mg every 6 hours as needed, topical medications like menthol/methylsalicylate cream, lidocaine cream/ointment"
Pain Management Opioid Taper Decision Tool,"Use a shared decision-making approach to discuss options for OUD treatment. Medication-Assisted Therapy (MAT) is the first-line treatment for OUD. The preferred OUD treatment is Opioid Agonist Therapy (OAT). Opioid agonist treatment involves taking opioid agonist medications such as buprenorphine/naloxone (Suboxone) or methadone. Methadone must be provided through a federally regulated opioid treatment program for OUD therapy. The alternative OUD treatment is extended-release (ER) injectable naltrexone (Vivitrol). MAT can be provided in a variety of treatment settings including residential SUD treatment, intensive outpatient SUD treatment, regular SUD specialty care clinic, primary care or general mental health clinic, or federally regulated opioid treatment program. Moral injury is an act of transgression that leads to serious inner conflict typically brought on by betrayal, disproportionate violence, incidents involving civilians, within-rank violence. For moral injury, treatment via psychologists or chaplains is available. Central sensitization (e .g., fibromyalgia, chronic headaches, and likely many other types of complex chronic pain). Some examples of medical complications are lung disease, hepatic disease, renal disease, or fall risk. Sleep apnea is a sleep disorder.",What are opioid agonist medications?,buprenorphine/naloxone (Suboxone) or methadone
Module A: Determination of Appropriateness for Opioid Therapy,"Module A is about determination of appropriateness for opioid therapy. Note: Non-pharmacologic and non-opioid pharmacologic therapies are preferred for chronic pain. If a patient is with chronic pain and has been on daily OT for pain for more than 3 months, then proceed to module D. If a patient is with chronic pain and has not been on daily OT for pain for more than 3 months, then obtain biopsychosocial assessment. Then educate or re-educate on non-opioid management, self-management to improve function and quality of life, realistic expectations and limitations of medical treatment. Then implement and optimize non-opioid treatments for chronic pain (e.g., physical, psychological, and complementary and integrative treatments). If the treatments are effective in managing pain and optimizing function, then exit algorithm; manage with non-opioid modalities. If the treatments are not effective in managing pain and optimizing function, then complete opioid risk assessment and see if patient risks outweigh benefits by considering strength and number of risk factors and patient preference. If patient risk outweighs benefits, then see whether referral/consultation for evaluation and treatment is indicated (e.g., mental health, SUD, more intensive interdisciplinary care). If referral/consultation for evaluation and treatment is indicated, then refer/consult with appropriate interdisciplinary treatments. If referral/consultation for evaluation and treatment is not indicated, then see if the patient is willing to engage in a comprehensive pain care plan. Also when referral/consultation for evaluation and treatment is indicated, then after referral/consultation with appropriate interdisciplinary treatments, see if the patient is willing to engage in a comprehensive pain care plan. If the patient is not willing to engage in a comprehensive pain care plan, then exit algorithm; manage with non-opioid modalities. If the patient is willing to engage in a comprehensive pain care plan, then educate the patient and family about treatment options, including education on known risks and unknown long-term benefits of OT, risks of SUD and overdose, need for risk mitigation strategies, naloxone rescue. Then see if adding OT to comprehensive pain therapy is indicated at this time. If adding OT to comprehensive pain therapy is indicated at this time, then see if the patient is prepared to accept responsibilities and the provider is prepared to implement risk mitigation strategies. If adding OT to comprehensive pain therapy is not indicated at this time, then exit algorithm; manage with non-opioid modalities. If the patient is prepared to accept responsibilities and the provider is prepared to implement risk mitigation strategies, then discuss and complete written informed consent with patient and family, determine and document treatment plan, and proceed to module B. If the patient is not prepared to accept responsibilities or the provider is not prepared to implement risk mitigation strategies, then exit algorithm; manage with non-opioid modalities.",How to determine whether patient risks outweigh benefits?,by considering strength and number of risk factors and patient preference
Pain Management Opioid Taper Decision Tool,"Slower Taper is done over months or years. In the slower taper, reduce opioid by 5 to 20% every 4 weeks with pauses in taper as needed. Slower taper is the most common taper.  An example of the slower taper is given below. During the first month in the slower taper, 16% opioid reduction of morphine SR 90 mg Q8h = 270 MEDD consists of 75 mg (60 mg+15 mg)SR Q8h. The subsequent monthly dosage for the slower taper is 60 mg SR Q8h for month 2, 45 mg SR Q8h for month 3, 30 mg SR Q8h for month 4, 15 mg SR Q8h for month 5, 15 mg SR Q12h for month 6, 15mg SR QHS for month 7. Stop slower tapering after month 7 and may consider morphine IR 15 mg ½ tablet (7.5 mg) twice daily.",During the first month in the slower taper what does consist of 16% reduction of morphine SR 90 mg Q8h = 270 MEDD?,75 mg (60 mg+15 mg)SR Q8h
Recommendations,"We recommend alternatives to opioids for mild-to-moderate acute pain. We suggest use of multimodal pain care including non-opioid medications as indicated when opioids are used for acute pain. If take-home opioids are prescribed, we recommend that immediate-release opioids are used at the lowest effective dose with opioid therapy reassessment no later than 3-5 days to determine if adjustments or continuing opioid therapy is indicated. Note: Patient education about opioid risks and alternatives to opioid therapy should be offered.",Alternatives to opioids are recommended for what?,mild-to-moderate acute pain
Pain Management Opioid Taper Decision Tool,"Use a shared decision-making approach to discuss options for OUD treatment. Medication-Assisted Therapy (MAT) is the first-line treatment for OUD. The preferred OUD treatment is Opioid Agonist Therapy (OAT). Opioid agonist treatment involves taking opioid agonist medications such as buprenorphine/naloxone (Suboxone) or methadone. Methadone must be provided through a federally regulated opioid treatment program for OUD therapy. The alternative OUD treatment is extended-release (ER) injectable naltrexone (Vivitrol). MAT can be provided in a variety of treatment settings including residential SUD treatment, intensive outpatient SUD treatment, regular SUD specialty care clinic, primary care or general mental health clinic, or federally regulated opioid treatment program. Moral injury is an act of transgression that leads to serious inner conflict typically brought on by betrayal, disproportionate violence, incidents involving civilians, within-rank violence. For moral injury, treatment via psychologists or chaplains is available. Central sensitization (e .g., fibromyalgia, chronic headaches, and likely many other types of complex chronic pain). Some examples of medical complications are lung disease, hepatic disease, renal disease, or fall risk. Sleep apnea is a sleep disorder.",What is moral injury?,an act of transgression that leads to serious inner conflict
Module C: Tapering or Discontinuation of Opioid Therapy,"Module C is on tapering or discontinuation of opioid therapy. If there is indication to taper to reduced dose or taper to discontinuation, repeat comprehensive biopsychosocial assessment. Then see if the patient demonstrates signs or symptoms of SUD. If the patient demonstrates signs or symptoms of SUD, then see whether the patient is willing to engage in SUD therapy. If the patient is willing to engage in SUD therapy, then access specialized SUD care with monitoring and follow-up appropriate for the patient’s needs (e.g., MAT, treatment for comorbidities), see VA/DoD SUD CPG, exit algorithms and manage with non-opioid modalities. If the patient does not demonstrate signs or symptoms of SUD, then look for evidence of diversion. If there is evidence of diversion, then immediately discontinue opioid therapy. If there is  no evidence of diversion, then look for high risk or dangerous behavior. High risk or dangerous behavior includes overdose events, accidents, and threatening providers. If there is high risk or dangerous behavior or the patient is not willing to engage in SUD therapy or immediately after discontinuing OT, then address safety and misuse, assess for withdrawal symptoms and offer expedited taper, immediate discontinuation, or detox as indicated, continue to monitor for SUD and mental health comorbidities and offer treatment as indicated, exit algorithm and manage with non-opioid modalities. If there is no high risk or dangerous behavior, then develop an individualized tapering treatment plan (including pace of tapering, setting of care) based on patient and treatment characteristics. Follow-up 1 week to 1 month after each change in dosage and after discontinuation considering patient and treatment characteristics. At each interaction with patient, consider the following: educate on self-management and risks of OT, optimize whole person approach to pain care, optimize treatment of co-occurring mental health conditions, optimize non-opioid pain treatment modalities, reassess for OUD and readiness for OUD treatment as indicated. If the patient is resistant to taper or there is high risk or dangerous behaviors or there is an increase in patient distress, then repeat comprehensive biopsychosocial assessment. See if an SUD is identified. If an SUD is identified, then find out if the patient is willing to engage in SUD therapy. If an SUD is not identified and there is use of opioids to modulate emotions (i.e., “chemical coping”) or an untreated or undertreated psychiatric disorder, then engage the patient in appropriate behavioral and/or psychiatric treatment, ideally in an interdisciplinary setting. Consider reduced rate of taper or pause in taper for patients actively engaged in skills training. If the patient is fearful and/or anxious about taper and ability to function on lower dose or without opioids, then provide additional education about whole person pain care and LOT and reassurance that the patient will not be abandoned. Consider more frequent follow-up using the expanded care team, consider reduced rate of taper or pause in taper for patients actively engaged in skills training, reassess for OUD throughout the taper. Expanded care team includes registered nurse, clinical pharmacist, health coach, and mental health provider. If there is concern for diversion, then immediately discontinue opioid therapy. If there is no concern for diversion, then follow-up 1 week to 1 month after each change in dosage.",What to consider at each interaction with the patient?,"educate on self-management and risks of OT, optimize whole person approach to pain care, optimize treatment of co-occurring mental health conditions, optimize non-opioid pain treatment modalities, reassess for OUD and readiness for OUD treatment as indicated"
Pain Management Opioid Taper Decision Tool,"Use a shared decision-making approach to discuss options for OUD treatment. Medication-Assisted Therapy (MAT) is the first-line treatment for OUD. The preferred OUD treatment is Opioid Agonist Therapy (OAT). Opioid agonist treatment involves taking opioid agonist medications such as buprenorphine/naloxone (Suboxone) or methadone. Methadone must be provided through a federally regulated opioid treatment program for OUD therapy. The alternative OUD treatment is extended-release (ER) injectable naltrexone (Vivitrol). MAT can be provided in a variety of treatment settings including residential SUD treatment, intensive outpatient SUD treatment, regular SUD specialty care clinic, primary care or general mental health clinic, or federally regulated opioid treatment program. Moral injury is an act of transgression that leads to serious inner conflict typically brought on by betrayal, disproportionate violence, incidents involving civilians, within-rank violence. For moral injury, treatment via psychologists or chaplains is available. Central sensitization (e .g., fibromyalgia, chronic headaches, and likely many other types of complex chronic pain). Some examples of medical complications are lung disease, hepatic disease, renal disease, or fall risk. Sleep apnea is a sleep disorder.",What is the first-line treatment for OUD?,Medication-Assisted Therapy (MAT)
Pain Management Opioid Taper Decision Tool,"Short-term oral medications can be utilized to assist with managing the withdrawal symptoms, especially when prescribing fast tapers. Do not treat withdrawal symptoms with an opioid or benzodiazepine. Withdrawal symptoms are not life-threatening and may not be seen with a gradual taper. Early symptoms take hours to days to appear. Early symptoms include anxiety/restlessness, rapid short respirations, runny nose, tearing eyes, sweating, insomnia, and dilated reactive pupils. Late symptoms take days to weeks to appear. Late symptoms include runny nose, tearing eyes, rapid breathing, yawning, tremor, diffuse muscle spasms/aches, piloerection, nausea, vomiting, and diarrhea, abdominal pain, fever, chills, increased white blood cells if sudden withdrawal. Prolonged symptoms take weeks to months to appear. Prolonged symptoms include irritability, fatigue, bradycardia, decreased body temperature, craving, insomnia. Early symptoms generally resolve 5 to 10 days following opioid dose reduction/cessation but may take longer depending on the half-life of the opioid (e.g., methadone). Some symptoms of withdrawal such as dysphoria, insomnia and prolonged craving may take longer. Patients with chronic pain may find that symptoms, such as fatigue, mental functioning, pain, and well-being, improve over time.",What do prolonged symptoms include?,"irritability, fatigue, bradycardia, decreased body temperature, craving, insomnia"
Pain Management Opioid Taper Decision Tool,"Follow-up for tapering should be done with PACT Team. Follow-up for tapering is recommended to be a team function with various team members taking on roles in which they have demonstrated specific competencies. Mental health practitioners may need to be included in the follow-up plan. During the slowest taper, follow up with the Veteran 1 to 4 weeks after starting taper then monthly before each reduction. During the slower taper, follow up with the Veteran 1 to 4 weeks after starting taper then monthly before each reduction. During the faster taper, follow up with the Veteran weekly before each dose reduction. During the rapid taper, follow up with the Veteran daily before each dose reduction or if available offer inpatient admission. The follow-up during the slowest, slower, and faster tapering can be done in the clinic and/or over telephone. The follow-up during the rapid tapering can be done in the hospital, clinic or over telephone. Providers will need to determine whether a telephone or in-clinic appointment is appropriate based on the risk category of the Veteran. A Veteran with high risk due to a medical condition may have decompensation during the taper and may require a clinic visit over telephone follow-up. If there are issues with the Veteran obtaining outside prescriptions or they are displaying other aberrant behaviors during the taper, providing follow-up in a clinic visit may be more optimal than a telephone visit. Follow up on patient function, pain intensity, sleep, physical activity, personal goals, and stress level.",What to do when patients are displaying other aberrant behaviors during the taper?,providing follow-up in a clinic visit may be more optimal than a telephone visit
Pain Management Opioid Taper Decision Tool,"Ensure screening and treatment is offered for conditions that can complicate pain management before initiating an opioid taper. Conditions that can complicate pain management are mental health disorders, OUD and other SUD, moral injury, central sensitization, medical complications, sleep disorders. Mental health disorders include PTSD, anxiety disorders, depressive disorders. If suicidal, then activate suicide prevention plan. If high suicide risk or actively suicidal, consult with mental health provider before beginning taper. The lifetime prevalence for OUD among patients receiving long-term opioid therapy is estimated to be about 41%: approximately 28% for mild symptoms, 10% for moderate symptoms and 3.5% for severe symptoms of OUD. Patients with chronic pain who develop OUD from opioid analgesic therapy need to have BOTH pain and OUD addressed. Either tapering the opioid analgesic or continuing to prescribe the opioid without providing OUD treatment may increase the risk of overdose and other adverse events.",What is the estimation of the lifetime prevalence for severe symptoms of OUD among patients receiving long-term opioid therapy?,3.5%
Paradigm Shift in Pain and Its Treatment,"A paradigm shift in the use of OT for chronic non-terminal pain has paralleled this transformation in pain  care. Prior to the 1980s, OT was rarely used outside of severe acute injury or post-surgical pain, primarily due to concern for tolerance, physical dependence, and addiction. As the hospice and palliative care  movement began defining end-of-life care in the U.S. during the 1980s and emphasizing the importance of  pain relief, OT increasingly became a mainstay for cancer and end-of-life pain. Efforts to destigmatize the use of prescription opioids for chronic non-terminal pain encompassed primary care providers and the  public. The efforts led to an unprecedented increase in opioid prescribing for chronic non-terminal pain.  Chronic pain management became synonymous with LOT in the 1990s and the first decade of the 2000s  with significant numbers of patients in pain clinics receiving LOT. Despite the absence of long-term safety or efficacy data, OT for chronic non-terminal pain became a mainstay of therapy. However, as observational and epidemiologic data of harm from LOT accumulated, a much more cautious approach to  OT for chronic non-terminal pain has emerged in the decade of the 2010s.",Name the concerning factors regarding the use of OT prior to 1980s.,"tolerance, physical dependence, and addiction"
Pain Management Opioid Taper Decision Tool,"Ensure screening and treatment is offered for conditions that can complicate pain management before initiating an opioid taper. Conditions that can complicate pain management are mental health disorders, OUD and other SUD, moral injury, central sensitization, medical complications, sleep disorders. Mental health disorders include PTSD, anxiety disorders, depressive disorders. If suicidal, then activate suicide prevention plan. If high suicide risk or actively suicidal, consult with mental health provider before beginning taper. The lifetime prevalence for OUD among patients receiving long-term opioid therapy is estimated to be about 41%: approximately 28% for mild symptoms, 10% for moderate symptoms and 3.5% for severe symptoms of OUD. Patients with chronic pain who develop OUD from opioid analgesic therapy need to have BOTH pain and OUD addressed. Either tapering the opioid analgesic or continuing to prescribe the opioid without providing OUD treatment may increase the risk of overdose and other adverse events.",What to do if suicide risk is high in patients?,consult with mental health provider before beginning taper
Recommendations,"We strongly recommend against initiation of long-term opioid therapy for chronic pain. We recommend alternatives to opioid therapy such as self-management strategies and other non-pharmacological treatments. When pharmacologic therapies are used, we recommend non-opioids over opioids. If prescribing opioid therapy for patients with chronic pain, we recommend a short duration. Note: Consideration of opioid therapy beyond 90 days requires reevaluation and discussion with patient of risks and benefits.",What is the stance regarding the initiation of long-term opioid therapy for chronic pain?,strongly recommend against
Pain Management Opioid Taper Decision Tool,"Educate the Veteran by using Bio-Psycho-Social Model e.g., PHI’s “Whole Health” approach. Offer Veterans pain education groups [especially Cognitive Behavioral Therapy (CBT) or Acceptance and Commitment Therapy (ACT) for Pain, if available]. Clinicians should offer physical therapy and Complementary and Integrative Health (CIH) interventions such as acupuncture, meditation, yoga. Clinicians should offer slow tapering of opioids to reduce opioid risks while not “cutting off” the Veteran. Clinicians should offer non-opioid pain medications when appropriate. Clinicians should commit to working with the Veteran on other options for improved function and some decrease in pain.",What is CIH?,Complementary and Integrative Health
Pain Management Opioid Taper Decision Tool,"Use a shared decision-making approach to discuss options for OUD treatment. Medication-Assisted Therapy (MAT) is the first-line treatment for OUD. The preferred OUD treatment is Opioid Agonist Therapy (OAT). Opioid agonist treatment involves taking opioid agonist medications such as buprenorphine/naloxone (Suboxone) or methadone. Methadone must be provided through a federally regulated opioid treatment program for OUD therapy. The alternative OUD treatment is extended-release (ER) injectable naltrexone (Vivitrol). MAT can be provided in a variety of treatment settings including residential SUD treatment, intensive outpatient SUD treatment, regular SUD specialty care clinic, primary care or general mental health clinic, or federally regulated opioid treatment program. Moral injury is an act of transgression that leads to serious inner conflict typically brought on by betrayal, disproportionate violence, incidents involving civilians, within-rank violence. For moral injury, treatment via psychologists or chaplains is available. Central sensitization (e .g., fibromyalgia, chronic headaches, and likely many other types of complex chronic pain). Some examples of medical complications are lung disease, hepatic disease, renal disease, or fall risk. Sleep apnea is a sleep disorder.",Name a sleep disorder.,Sleep apnea
Paradigm Shift in Pain and Its Treatment,"A paradigm shift in the use of OT for chronic non-terminal pain has paralleled this transformation in pain  care. Prior to the 1980s, OT was rarely used outside of severe acute injury or post-surgical pain, primarily due to concern for tolerance, physical dependence, and addiction. As the hospice and palliative care  movement began defining end-of-life care in the U.S. during the 1980s and emphasizing the importance of  pain relief, OT increasingly became a mainstay for cancer and end-of-life pain. Efforts to destigmatize the use of prescription opioids for chronic non-terminal pain encompassed primary care providers and the  public. The efforts led to an unprecedented increase in opioid prescribing for chronic non-terminal pain.  Chronic pain management became synonymous with LOT in the 1990s and the first decade of the 2000s  with significant numbers of patients in pain clinics receiving LOT. Despite the absence of long-term safety or efficacy data, OT for chronic non-terminal pain became a mainstay of therapy. However, as observational and epidemiologic data of harm from LOT accumulated, a much more cautious approach to  OT for chronic non-terminal pain has emerged in the decade of the 2010s.",How has a much more cautious approach to OT for chronic non-terminal pain emerged?,as observational and epidemiologic data of harm from LOT accumulated
Pain Management Opioid Taper Decision Tool,"Opioids are associated with many risks and it may be determined that they are not indicated for pain management for a particular Veteran. Re-evaluate the risks and benefits of continuing opioid therapy when there is no pain reduction, no improvement in function or patient requests to discontinue therapy, severe unmanageable adverse effects, dosage indicates high risk of adverse events, concerns related to an increased risk of SUD (Substance use disorder) (e.g., behaviors, age < 30, family history, personal history of SUD), an overdose event involving opioids, non-adherence to the treatment plan or unsafe behaviors. Examples of severe unmanageable adverse effects are drowsiness, constipation, and cognitive impairment. Examples of dosage that indicate high risk of adverse events are doses of 90 MEDD (Morphine equivalent daily dose) and higher. Examples of unsafe behaviors are early refills, lost/stolen prescription, buying or borrowing opioids, failure to obtain or aberrant UDT. ",What to do when dosage indicates high risk of adverse events?,Re-evaluate the risks and benefits of continuing opioid therapy
Opioid Epidemic,"The increase in opioid prescribing is matched by a parallel increase in morbidity, mortality, opioid-related  overdose death rates, and substance use disorders (SUD) treatment admissions from 1999 to 2008.  In 2009, drug overdose became the leading cause of injury-related death in the U.S., surpassing deaths from traffic accidents. In 2014, 1.9 million Americans were affected by an OUD related to non-medical  use of prescription pain relievers, and in the same year, 18,893 individuals died as a result of a  prescription drug overdose. There has been a four-fold increase in the absolute number of deaths  associated with use of opioids since 2000, and a 14% increase between 2013 and 2014 alone. In a survey of patients prescribed opioids for chronic non-cancer pain (CNCP) and their family members, 34% of patients reported that they thought they were “addicted” or “dependent” on opioid pain medication, 34% said that they used the medication for “fun” or to “get high,” while 22% used the medication to relieve day-to-day stress.","From 1999 to 2008, what is increasing with the increment of opioid prescribing?","morbidity, mortality, opioid-related  overdose death rates, and substance use disorders (SUD) treatment admissions"
Recommendations,"We strongly recommend against initiation of long-term opioid therapy for chronic pain. We recommend alternatives to opioid therapy such as self-management strategies and other non-pharmacological treatments. When pharmacologic therapies are used, we recommend non-opioids over opioids. If prescribing opioid therapy for patients with chronic pain, we recommend a short duration. Note: Consideration of opioid therapy beyond 90 days requires reevaluation and discussion with patient of risks and benefits.",When are non-opioids recommended over opioids?,When pharmacologic therapies are used
Pain Management Opioid Taper Decision Tool,"The Opioid Taper Decision Tool is designed to assist Primary Care providers in determining if an opioid taper is necessary for a specific patient, in performing the taper, and in providing follow-up and support during the taper.",What is the purpose of Opioid Taper Decision Tool?,"assist Primary Care providers in determining if an opioid taper is necessary for a specific patient, in performing the taper, and in providing follow-up and support during the taper"
Pain Management Opioid Taper Decision Tool,"Use immediate-release (IR) opioids when starting therapy. Prescribe the lowest effective dose. When using opioids for acute pain, provide no more than needed for the condition. Follow up and review benefits and risks before starting and during therapy. If benefits do not outweigh harms, consider tapering opioids to lower doses or taper and discontinue.",When to consider tapering opioids to lower doses?,If benefits do not outweigh harms
Introduction,"The Department of Veterans Affairs (VA) and Department of Defense (DoD) Evidence-Based Practice Work Group (EBPWG) was established and first chartered in 2004, with a mission to advise the “…Health Executive Council on the use of clinical and epidemiological evidence to improve the health of the population across the Veterans Health Administration and Military Health System,” by facilitating the development of clinical practice guidelines (CPGs) for the VA and DoD populations. This CPG is intended to provide healthcare providers with a framework by which to evaluate, treat, and manage the individual needs and preferences of patients with chronic pain who are on or being considered for long-term opioid therapy (LOT). ",What is LOT?,long-term opioid therapy
Pain Management Opioid Taper Decision Tool,"Offer risk mitigation strategies, including naloxone for patients at risk for overdose.  Review PDMP (Prescription Drug Monitoring Program) data at least every 3 months and perform UDT (Urine Drug Testing) at least annually. Avoid prescribing opioid and benzodiazepines concurrently when possible. Clinicians should offer or arrange MAT (Medication-Assisted Treatment) for patients with OUD (Opioid Use Disorder).",What should be offered for patients with opioid use disorder?,MAT (Medication-Assisted Treatment)
